;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_984;0.72;0.66;1.68;0.85;1.21;1.18;1.86;0.53;0.59;2;1;2;2;1;2;1;2;1;;78.283;114.341;332.998;69.165;230.183;21.317;136.386;23.99;421.72;2.243
Model_985;0.78;0.58;1.75;0.81;1.24;0.79;1.48;0.55;0.60;2;2;2;1;2;2;1;1;2;;68.289;131.403;317.883;68.32;218.949;28.027;167.018;23.321;426.066;2.245
Model_986;0.73;0.56;1.29;0.74;1.28;0.66;1.51;0.44;0.51;2;2;2;2;2;1;1;2;2;;72.606;133.877;426.116;75.979;177.068;28.639;160.97;25.593;519.924;2.152
Model_987;0.42;0.53;1.39;0.39;0.98;1.20;1.91;0.71;0.90;2;2;1;1;2;1;1;2;1;;112.066;133.316;330.516;54.403;251.803;28.303;127.462;17.926;299.139;2.01
Model_988;0.76;0.76;1.44;0.64;1.27;1.00;1.60;0.58;0.49;1;2;2;1;2;1;1;1;1;;78.517;140.801;418.841;73.681;200.024;25.546;150.41;22.725;562.222;2.519
Model_989;0.67;0.49;1.36;0.56;1.46;0.84;1.65;0.53;0.67;2;2;2;2;1;1;2;2;2;;78.818;121.105;370.862;60.192;137.564;32.663;142.072;22.896;363.727;2.113
Model_990;0.73;0.61;1.28;0.73;1.28;0.76;1.57;0.53;0.56;1;2;2;2;1;1;1;2;2;;73.798;139.519;431.797;71.754;183.044;29.146;161.895;23.398;486.121;2.192
Model_991;0.41;0.47;1.59;0.46;1.01;1.13;1.83;0.69;0.66;1;2;1;2;2;1;1;2;2;;117.809;118.925;294.297;55.624;252.318;27.441;128.454;17.609;335.323;2.129
Model_992;0.51;0.63;1.78;0.59;1.00;1.06;1.93;0.74;0.72;1;2;1;1;2;2;2;2;1;;102.206;123.16;282.49;55.054;296.147;29.388;138.664;18.469;326.237;2.233
Model_993;0.51;0.54;1.78;0.45;1.03;0.75;1.62;0.44;0.75;1;2;1;2;1;1;2;2;2;;97.259;129.207;269.301;52.561;269.03;35.458;150.488;23.981;313.906;2.202
Model_994;0.73;0.59;1.85;0.42;1.40;0.70;1.71;0.43;0.77;2;1;2;2;1;1;1;2;2;;76.433;114.726;275.613;57.062;181.642;38.339;137.295;25.271;301.023;2.304
Model_995;0.31;0.61;1.54;0.52;1.07;1.16;1.51;0.38;0.50;1;1;1;1;2;1;1;2;2;;156.209;130.361;335.679;66.017;238.12;22.414;155.856;26.716;491.288;2.574
Model_996;0.73;0.50;1.34;0.35;1.32;0.69;1.83;0.45;0.63;2;2;2;2;1;1;1;1;2;;72.394;113.427;364.156;59.675;156.563;39.771;125.283;23.114;363.188;2.085
Model_997;0.72;0.70;1.58;0.42;1.06;1.02;1.85;0.58;0.79;2;1;2;1;2;2;2;2;2;;74.621;132.123;325.032;55.688;271.002;33.693;146.655;21.205;325.584;2.303
Model_998;0.61;0.46;1.37;0.69;1.31;1.19;1.93;0.33;0.72;1;1;2;1;1;2;2;2;1;;86;113.118;357.966;57.575;163.39;24.369;121.588;29.164;313.177;1.928
Model_999;0.55;0.71;1.75;0.71;1.17;1.19;1.47;0.54;0.66;2;1;1;1;1;2;2;1;2;;99.564;148.768;317.412;61.032;251.611;24.704;175.234;23.956;410.185;2.527
Model_1000;0.56;0.55;1.81;0.60;1.29;0.98;1.46;0.75;0.60;1;2;2;1;2;1;2;2;2;;93.287;124.839;294.448;64.928;197.142;28.832;160.892;18.67;401.862;2.395
Model_1001;0.43;0.55;1.73;0.67;1.33;0.84;1.61;0.54;0.48;1;1;1;2;2;1;2;1;2;;124.735;103.821;308.662;74.963;171.131;26.654;132.197;23.283;466.339;2.403
Model_1002;0.37;0.50;1.78;0.85;1.06;0.81;1.45;0.55;0.57;1;1;2;2;1;1;1;2;2;;137.566;126.636;290.786;66.37;257.906;24.699;165.636;23.377;420.533;2.334
Model_1003;0.36;0.66;1.57;0.72;1.49;0.77;1.50;0.53;0.63;1;2;2;1;1;2;1;2;2;;146.796;137.583;351.653;62.602;152.606;31.134;162.408;25.409;418.269;2.603
Model_1004;0.45;0.59;1.41;0.47;1.22;0.86;1.70;0.62;0.84;1;1;2;1;2;2;2;2;2;;112.907;130.858;345.493;52.424;195.447;34.367;140.655;21.128;321.044;2.297
Model_1005;0.51;0.53;1.43;0.40;1.39;1.00;1.67;0.72;0.84;1;2;1;2;1;1;1;2;1;;101.852;126.24;337.137;57.914;156.873;33.325;134.034;18.851;306.739;2.25
Model_1006;0.43;0.65;1.49;0.66;1.04;1.06;1.78;0.44;0.72;1;2;2;1;1;1;2;1;2;;119.972;134.176;343.103;55.207;263.6;27.384;151.479;25.31;350.773;2.292
Model_1007;0.37;0.63;1.36;0.66;1.47;0.98;1.93;0.33;0.76;1;2;2;2;1;2;1;1;1;;152.949;118.422;376.457;53.613;142.689;29.554;130.33;29.367;314.475;2.386
Model_1008;0.34;0.71;1.30;0.71;0.95;0.97;1.75;0.35;0.86;1;2;1;1;2;1;2;1;1;;137.971;151.127;385.707;47.806;278.273;28.005;156.047;27.872;363.129;2.337
Model_1009;0.75;0.74;1.45;0.71;1.28;1.21;2.01;0.56;0.58;1;2;1;2;2;2;1;1;2;;79.48;113.879;392.184;68.34;199.598;22.809;127.372;22.758;444.606;2.379
Model_1010;0.52;0.54;1.62;0.47;1.14;0.78;1.56;0.74;0.81;1;1;1;1;2;2;2;2;2;;95.645;132.14;301.389;52.013;230.605;35.253;148.486;18.249;317.525;2.259
Model_1011;0.63;0.70;1.54;0.42;1.03;0.78;1.63;0.37;0.71;2;2;2;2;1;2;1;1;1;;86.096;145.874;334.782;55.997;277.847;37.818;162.994;24.864;367.562;2.373
Model_1012;0.56;0.44;1.54;0.50;1.29;0.89;1.49;0.34;0.62;2;2;2;2;2;2;1;1;1;;90.401;118.28;316.916;60.985;169.51;31.469;149.479;28.031;375.162;2.106
Model_1013;0.62;0.59;1.73;0.68;1.15;0.93;1.69;0.57;0.78;2;2;1;1;1;2;2;2;1;;84.025;129.256;296.922;53.976;244.629;30.09;150.051;22.567;314.647;2.214
Model_1014;0.32;0.52;1.60;0.41;1.17;1.01;1.79;0.38;0.70;1;2;2;1;2;2;1;2;1;;154.373;115.647;295.129;56.964;204.839;31.492;131.058;26.322;317.224;2.381
Model_1015;0.55;0.66;1.45;0.65;1.40;0.87;1.62;0.58;0.53;2;2;2;2;2;1;2;1;1;;103.453;127.643;389.274;71.389;159.76;28.98;148.673;22.671;487.975;2.372
Model_1016;0.55;0.62;1.78;0.42;1.25;0.85;1.92;0.32;0.66;2;1;2;1;2;1;1;2;2;;101.944;106.241;280.777;55.568;206.178;36.209;124.82;27.029;338.698;2.324
Model_1017;0.39;0.52;1.75;0.36;1.29;1.22;1.77;0.37;0.62;1;2;2;2;2;2;2;2;2;;132.035;104.956;273.896;62.531;179.452;26.079;126.077;26.313;346.154;2.381
Model_1018;0.46;0.46;1.32;0.70;0.91;1.00;1.69;0.47;0.60;1;2;2;1;1;2;1;1;1;;102.783;131.519;364.768;65.276;277.024;24.485;146.872;23.184;401.422;1.943
Model_1019;0.33;0.57;1.31;0.79;1.01;1.10;1.81;0.32;0.85;2;2;1;2;1;2;2;2;2;;152.631;137.35;365.58;49.317;242.983;24.355;142.339;29.765;329.948;2.13
Model_1020;0.50;0.53;1.58;0.66;1.50;0.70;1.77;0.60;0.85;2;1;1;1;2;2;1;1;2;;112.533;116.588;316.106;49.017;148.753;31.636;128.191;22.587;291.148;2.259
Model_1021;0.61;0.70;1.71;0.79;0.98;0.73;1.74;0.55;0.62;2;1;1;1;2;2;1;2;1;;89.647;134.858;316.372;65.473;319.126;29.434;157.404;23.086;418.269;2.333
Model_1022;0.67;0.66;1.71;0.66;1.11;1.17;1.51;0.69;0.76;2;2;2;1;1;1;2;2;1;;77.599;147.442;313.799;55.16;269.336;27.143;169.739;20.519;351.209;2.339
Model_1023;0.30;0.77;1.78;0.75;1.10;0.90;1.65;0.45;0.67;2;1;2;2;2;1;1;1;1;;163.127;142.101;306.732;59.349;276.416;28.792;162.745;27.001;391.142;2.852
Model_1024;0.69;0.47;1.77;0.70;1.14;0.83;1.74;0.69;0.51;2;2;2;1;1;2;2;1;1;;73.174;101.115;291.291;75.815;225.413;26.889;123.369;18.68;423.381;2.077
Model_1025;0.42;0.61;1.33;0.46;1.01;1.03;1.67;0.45;0.58;1;1;1;2;2;1;1;2;1;;121.772;133.456;376.873;59.634;249.082;28.89;151.608;23.684;433.617;2.338
Model_1026;0.56;0.74;1.54;0.39;1.11;1.17;1.87;0.39;0.67;1;1;2;2;2;2;1;2;1;;101.891;126.567;339.23;59.845;248.841;29.559;141.778;24.886;371.363;2.488
Model_1027;0.64;0.57;1.36;0.71;1.02;0.75;1.87;0.47;0.71;1;1;1;1;2;2;2;2;1;;78.877;128.432;369.918;58.757;254.924;30.142;141.478;23.987;344.317;2.007
Model_1028;0.66;0.74;1.79;0.73;1.42;1.22;1.76;0.51;0.49;2;1;1;2;1;1;2;1;1;;92.919;107.983;332.979;74.376;177.201;19.733;127.181;24.822;499.578;2.484
Model_1029;0.39;0.74;1.35;0.45;1.42;1.20;1.69;0.43;0.65;1;2;2;1;2;2;2;2;2;;135.726;137.337;398.717;53.651;155.055;27.976;150.817;25.929;405.269;2.659
Model_1030;0.57;0.71;1.46;0.58;1.36;0.85;1.73;0.71;0.67;2;2;2;2;2;2;1;1;2;;98.952;133.233;375.54;58.296;178.694;34.279;149.372;20.009;391.437;2.498
Model_1031;0.34;0.55;1.30;0.67;1.24;0.77;1.92;0.60;0.72;2;2;1;2;1;2;2;2;2;;153.545;121.547;378.513;56.322;175.667;30.987;129.547;21.785;327.099;2.291
Model_1032;0.56;0.61;1.84;0.56;1.16;1.13;1.70;0.44;0.82;2;1;2;2;2;2;1;2;2;;94.382;125.374;274.667;48.202;245.352;29.029;144.672;25.637;304.445;2.272
Model_1033;0.38;0.56;1.37;0.41;1.48;0.80;1.64;0.54;0.64;1;1;1;1;2;2;1;2;2;;134.53;122.439;364.099;57.68;131.81;37.511;142.734;22.732;380.039;2.466
Model_1034;0.45;0.61;1.43;0.56;1.06;0.71;1.45;0.56;0.61;2;1;2;1;1;2;2;2;1;;112.802;148.471;362.704;61.078;247.746;34.666;175.712;22.02;435.468;2.408
Model_1035;0.48;0.72;1.41;0.59;1.28;1.03;1.49;0.68;0.50;1;2;2;1;2;1;2;1;1;;115.386;148.629;411.503;70.338;187.198;25.85;162.069;20.905;545.521;2.59
Model_1036;0.32;0.50;1.79;0.80;0.99;1.25;1.81;0.58;0.82;1;1;1;1;2;2;1;1;2;;159.525;127.373;270.689;50.465;282.726;22.228;137.098;22.602;289.833;2.189
Model_1037;0.51;0.69;1.67;0.79;1.41;0.98;1.79;0.55;0.52;1;2;1;2;1;1;1;1;1;;114.452;110.487;343.391;72.281;170.994;23.969;129.328;24.14;473.279;2.427
Model_1038;0.39;0.49;1.59;0.43;0.96;0.97;1.74;0.31;0.62;1;2;1;1;2;2;2;2;1;;124.471;118.962;289.962;55.46;267.523;30.447;136.429;27.035;357.918;2.163
Model_1039;0.56;0.49;1.59;0.35;1.02;0.70;2.04;0.37;0.85;1;2;2;1;2;2;1;1;1;;87.243;119.951;287.99;56.11;249.555;35.587;116.205;24.899;264.823;1.921
Model_1040;0.47;0.55;1.68;0.39;1.17;0.80;1.81;0.73;0.87;1;2;2;2;2;2;1;2;1;;107.568;123.14;286.28;58.431;222.518;35.865;129.935;18.229;285.938;2.26
Model_1041;0.60;0.64;1.54;0.45;1.46;1.07;1.85;0.68;0.53;2;2;2;2;1;1;1;2;2;;96.47;105.984;352.326;64.89;148.337;28.064;121.483;19.847;448.451;2.362
Model_1042;0.72;0.56;1.49;0.57;1.07;0.89;1.95;0.39;0.65;1;1;1;2;2;2;1;2;2;;71.557;114.693;335.257;60.4;243.508;31.262;127.523;25.33;358.838;2.038
Model_1043;0.55;0.51;1.29;0.57;1.45;0.65;1.96;0.51;0.54;2;2;1;2;2;2;2;2;2;;101.353;101.675;392.582;70.999;128.496;34.085;111.98;22.806;420.972;2.129
Model_1044;0.63;0.48;1.37;0.41;1.23;0.88;1.94;0.58;0.85;2;2;2;2;2;1;1;1;1;;80.552;121.579;341.959;54.446;180.773;33.928;118.424;20.513;280.93;1.943
Model_1045;0.69;0.68;1.74;0.65;1.35;0.68;1.71;0.73;0.80;1;1;2;1;2;1;2;1;2;;79.999;127.578;310.151;52.51;202.062;33.692;147.752;19.988;318.266;2.42
Model_1046;0.77;0.61;1.64;0.77;1.40;1.11;1.51;0.53;0.58;2;1;1;1;2;2;2;1;2;;71.223;128.919;345.898;70.032;173.831;23.41;163.332;24.167;448.623;2.285
Model_1047;0.66;0.45;1.38;0.47;1.14;0.77;1.75;0.58;0.89;1;1;2;1;1;1;2;2;1;;76.623;129.967;334.578;49.209;203.843;32.74;126.221;20.855;295.707;1.85
Model_1048;0.53;0.49;1.55;0.71;1.38;1.00;1.89;0.47;0.65;1;2;2;1;1;2;2;1;1;;102.357;106.29;326.426;63.049;160.044;26.659;122.198;24.765;345.488;2.136
Model_1049;0.37;0.59;1.80;0.40;0.96;1.16;1.99;0.46;0.59;1;2;2;1;2;1;2;2;2;;136.147;107.305;261.74;55.871;290.228;26.521;118.215;22.652;365.963;2.348
Model_1050;0.53;0.75;1.65;0.85;1.31;1.25;1.79;0.43;0.54;1;2;1;2;1;2;1;1;1;;112.308;119.966;353.852;70.264;202.053;19.086;137.284;26.722;478.39;2.521
Model_1051;0.64;0.59;1.82;0.52;1.07;0.83;1.71;0.70;0.80;1;1;1;2;1;1;1;1;2;;79.047;129.404;274.9;48.828;271.571;34.073;147.173;18.988;307.818;2.199
Model_1052;0.77;0.59;1.36;0.60;1.43;1.22;1.63;0.72;0.63;2;1;2;2;2;1;2;2;2;;70.324;129.332;399.048;65.086;153.661;24.939;153.709;19.503;416;2.235
Model_1053;0.42;0.60;1.46;0.55;1.17;0.93;2.00;0.40;0.62;1;1;2;1;1;1;2;2;1;;127.834;108.43;343.645;59.616;206.384;30.619;120.603;25.743;369.53;2.32
Model_1054;0.39;0.55;1.63;0.57;1.20;0.98;1.66;0.34;0.83;1;1;2;2;2;1;1;1;1;;136.227;124.753;299.083;47.154;211.93;30;140.689;28.948;302.693;2.324
Model_1055;0.47;0.48;1.36;0.53;1.13;0.89;1.64;0.51;0.85;2;2;1;1;2;1;2;2;1;;104.275;133.604;340.91;45.095;205.299;31.208;137.359;23.108;313.459;2.016
Model_1056;0.53;0.46;1.38;0.77;1.26;0.71;1.72;0.44;0.57;2;1;2;2;2;2;1;2;2;;99.185;112.509;366.124;69.277;170.667;27.656;133.375;25.554;413.32;2.044
Model_1057;0.57;0.52;1.26;0.50;1.45;0.85;1.51;0.48;0.54;2;2;2;1;1;2;1;2;2;;93.945;128.283;410.295;67.913;132.994;32.109;154.065;23.894;468.282;2.248
Model_1058;0.65;0.59;1.26;0.57;1.21;0.94;2.01;0.51;0.51;2;1;2;1;2;2;2;2;2;;87.328;102.962;416.762;71.776;183.925;27.677;114.243;22.62;467.359;2.121
Model_1059;0.33;0.60;1.55;0.55;1.49;1.05;1.58;0.55;0.53;1;2;1;2;2;2;1;2;1;;152.135;119.617;345.127;67.375;137.654;26.163;144.079;23.798;455.255;2.587
Model_1060;0.68;0.52;1.33;0.48;1.17;1.08;1.96;0.51;0.65;2;2;2;2;1;2;1;1;1;;76.736;115.099;371.165;58.746;195.156;28.997;122.156;21.895;352.196;2.027
Model_1061;0.49;0.61;1.80;0.42;1.21;0.69;1.90;0.68;0.62;2;1;2;2;1;2;1;2;2;;110.835;107.143;278.761;56.16;215.758;40.016;124.107;18.88;359.851;2.418
Model_1062;0.72;0.50;1.38;0.66;1.03;1.16;1.69;0.68;0.73;2;2;2;1;2;1;2;1;1;;68.566;135.919;361.266;57.56;251.32;25.662;150.498;19.023;341.355;1.943
Model_1063;0.69;0.65;1.71;0.66;1.10;0.83;1.68;0.37;0.58;2;1;2;1;1;2;2;1;2;;79.729;124.133;314.297;66.263;260.145;30.248;151.275;26.217;429.446;2.243
Model_1064;0.58;0.46;1.31;0.53;1.42;0.70;1.84;0.33;0.77;2;2;1;2;1;2;1;2;2;;91.131;117.652;360.228;50.426;136.775;33.765;123.088;28.601;294.684;1.959
Model_1065;0.45;0.64;1.46;0.41;1.07;0.66;1.67;0.53;0.68;1;2;2;2;2;2;2;1;1;;114.323;136.465;343.316;58.052;244.616;39.578;154.539;21.68;368.12;2.377
Model_1066;0.41;0.76;1.71;0.57;1.31;0.95;1.66;0.65;0.57;2;2;1;1;2;2;2;2;2;;132.798;130.867;328.26;62.201;200.689;30.883;148.709;21.833;449.628;2.773
Model_1067;0.52;0.58;1.75;0.40;1.20;1.22;1.65;0.61;0.71;2;1;1;2;1;2;1;1;2;;101.035;123.12;285.224;58.736;219.708;28.247;146.541;20.611;334.564;2.37
Model_1068;0.73;0.51;1.58;0.48;1.49;1.16;1.99;0.38;0.55;1;2;2;1;2;2;2;1;1;;75.678;90.969;323.015;67.34;136.74;24.889;105.843;26.378;389.34;2.119
Model_1069;0.72;0.51;1.41;0.53;0.98;1.18;1.77;0.66;0.61;1;2;2;1;2;2;1;1;2;;66.475;125.892;352.465;63.325;267.224;25.028;140.817;18.546;395.229;1.996
Model_1070;0.78;0.76;1.52;0.81;1.06;0.71;2.05;0.38;0.53;1;2;2;2;1;1;2;2;1;;76.139;109.988;374.551;72.382;278.598;28.009;124.01;25.972;485.309;2.377
Model_1071;0.32;0.56;1.64;0.70;1.18;0.68;1.57;0.57;0.82;1;1;1;2;1;1;2;2;2;;160.139;131.741;302.358;50.341;221.203;30.105;149.565;23.745;319.25;2.454
Model_1072;0.63;0.76;1.70;0.57;0.91;1.04;1.68;0.44;0.84;1;2;1;1;1;2;1;1;2;;82.506;155.421;303.89;46.634;345.262;30.735;166.264;24.405;360.533;2.343
Model_1073;0.39;0.65;1.59;0.38;1.00;0.87;1.76;0.63;0.63;2;2;2;1;1;2;1;1;2;;129.808;129.839;312.458;61.316;276.7;36.379;146.32;19.395;385.972;2.433
Model_1074;0.65;0.58;1.84;0.73;1.23;1.10;1.49;0.47;0.61;1;2;1;1;2;2;2;2;1;;81.485;127.309;294.308;66.088;221.462;24.275;164.004;25.197;403.091;2.3
Model_1075;0.46;0.56;1.60;0.39;1.41;1.20;1.60;0.43;0.77;1;2;1;1;1;1;1;1;2;;114.623;122.697;307.597;59.156;161.582;28.96;142.077;25.691;311.006;2.392
Model_1076;0.62;0.68;1.58;0.57;0.92;0.70;1.96;0.46;0.78;1;1;2;1;1;1;1;2;2;;83.564;132.494;318.504;49.829;318.72;33.58;143.983;23.599;323.765;2.167
Model_1077;0.43;0.56;1.35;0.54;1.02;0.94;1.67;0.52;0.85;2;2;2;1;1;2;2;1;1;;112.074;140.749;351.908;45.275;244.725;31.007;146.531;22.849;332.237;2.116
Model_1078;0.55;0.59;1.31;0.68;1.27;0.83;1.49;0.58;0.76;2;2;2;1;2;1;2;2;1;;94.367;145.735;390.937;55.225;182.958;30.783;161.959;22.714;359.778;2.259
Model_1079;0.67;0.62;1.63;0.49;0.93;1.12;1.78;0.66;0.62;1;1;2;1;2;1;2;2;1;;76.863;128.245;311.94;59.401;317.884;27.732;148.684;19.089;394.928;2.145
Model_1080;0.41;0.44;1.27;0.73;0.96;0.79;1.63;0.57;0.78;2;2;2;1;1;2;2;1;2;;113.58;142.754;365.332;52.045;248.463;27.69;146.695;21.184;327.708;1.863
Model_1081;0.32;0.49;1.53;0.63;0.97;0.73;1.56;0.73;0.71;2;2;2;2;1;1;1;1;2;;145.024;138.22;314.373;55.739;272.199;30.933;157.018;18.045;346.758;2.246
Model_1082;0.51;0.66;1.33;0.68;1.46;0.70;1.75;0.38;0.63;1;2;1;1;2;2;2;1;1;;111.623;126.674;405.86;63.086;144.726;32.572;144.88;27.171;408.697;2.34
Model_1083;0.49;0.56;1.47;0.69;1.44;1.00;2.02;0.67;0.87;2;2;2;1;1;2;2;2;2;;115.4;115.62;341.194;48.754;154.785;29.354;119.821;20.968;284.622;2.203
Model_1084;0.48;0.63;1.52;0.45;1.29;1.02;1.45;0.55;0.54;2;2;2;1;2;2;1;1;2;;111.228;138.286;354.483;61.973;181.397;29.394;163.223;22.267;473.75;2.496
Model_1085;0.64;0.50;1.41;0.72;1.04;0.82;1.90;0.51;0.66;2;1;1;1;2;1;1;1;1;;77.673;120.138;351.947;62.673;244.225;28.594;130.583;22.63;354.752;1.952
Model_1086;0.50;0.75;1.45;0.63;0.98;0.85;1.95;0.47;0.52;2;2;2;1;1;1;2;1;1;;116.798;117.874;375.363;68.175;294.669;29.231;128.682;23.779;491.233;2.452
Model_1087;0.41;0.72;1.53;0.37;1.40;0.93;2.04;0.66;0.83;1;1;1;1;1;2;1;1;2;;129.359;116.572;332.505;62.758;169.793;36.665;125.372;20.814;297.647;2.58
Model_1088;0.36;0.45;1.52;0.75;1.16;1.18;1.98;0.32;0.83;2;2;2;2;2;2;2;2;2;;155.603;117.69;311.272;49.003;204.682;23.585;117.727;30.295;269.319;2.007
Model_1089;0.50;0.50;1.39;0.80;1.27;1.05;1.45;0.64;0.50;2;1;2;1;1;2;1;2;2;;104.374;127.381;388.781;74.498;172.16;20.8;162.26;21.113;508.283;2.243
Model_1090;0.75;0.56;1.85;0.53;1.01;0.89;1.87;0.51;0.76;1;1;1;2;1;1;1;2;1;;67.317;121.869;265.979;51.958;289.392;32.758;137.278;22.447;300.637;2.043
Model_1091;0.32;0.64;1.43;0.38;0.98;0.75;1.90;0.31;0.79;2;2;2;1;1;1;1;1;2;;147.345;130.559;331.638;59.183;262.573;36.418;138.249;26.772;314.104;2.321
Model_1092;0.63;0.66;1.25;0.81;1.22;0.96;1.52;0.72;0.52;2;2;2;2;1;1;2;2;2;;87.6;151.294;461.706;74.515;203.175;23.781;169.928;20.209;548.495;2.291
Model_1093;0.31;0.63;1.27;0.82;1.00;1.24;1.86;0.73;0.68;2;1;2;2;1;2;2;1;1;;155.779;135.674;408.174;60.885;257.527;21.495;148.301;20.053;376.462;2.347
Model_1094;0.49;0.76;1.42;0.36;0.96;0.71;1.61;0.63;0.69;1;1;2;2;1;1;2;1;1;;108.571;158.103;366.38;64.604;300.071;40.704;170.488;19.771;393.742;2.566
Model_1095;0.37;0.46;1.82;0.62;1.18;0.86;1.95;0.58;0.74;1;1;1;1;2;1;2;2;1;;143.754;108.345;261.045;53.242;214.175;30.511;116.942;21.467;282.197;2.184
Model_1096;0.31;0.72;1.58;0.39;0.95;1.07;1.81;0.30;0.64;2;2;2;2;1;1;1;2;1;;157.249;132.926;315.113;60.931;300.882;30.468;147.753;26.826;385.174;2.59
Model_1097;0.72;0.47;1.71;0.69;1.23;0.97;1.87;0.35;0.61;2;2;1;1;2;2;2;1;2;;71.851;102.468;292.188;65.956;200.07;26.406;120.919;27.661;358.958;1.998
Model_1098;0.43;0.68;1.31;0.70;1.22;0.80;1.46;0.70;0.64;2;2;2;2;2;2;2;1;1;;120.591;159.708;417.572;63.225;200.47;31.075;176.945;20.705;442.479;2.494
Model_1099;0.74;0.48;1.72;0.44;0.96;0.89;1.68;0.63;0.71;2;1;2;2;1;2;1;1;2;;65.634;128.001;279.105;52.357;290.812;33.823;145.562;18.836;326.987;1.969
Model_1100;0.48;0.50;1.67;0.57;1.35;1.04;1.59;0.40;0.81;2;2;1;1;1;2;2;2;1;;112.677;120.844;293.255;48.608;176.488;29.55;139.87;27.515;295.688;2.236
Model_1101;0.75;0.46;1.62;0.78;1.30;0.93;1.88;0.53;0.51;1;2;1;2;1;1;2;1;2;;68.64;95.378;321.379;75.797;175.075;23.277;111.277;22.852;428.935;1.992
Model_1102;0.39;0.70;1.35;0.67;1.08;0.95;1.72;0.59;0.56;2;2;1;1;1;2;1;2;2;;135.401;137.199;401.057;66.231;241.48;27.335;150.861;22.377;475.709;2.481
Model_1103;0.47;0.45;1.28;0.75;1.26;1.24;2.01;0.33;0.48;1;2;1;2;2;2;2;1;2;;115.887;93.407;389.308;75.24;155.594;16.891;101.796;28.658;457.046;1.966
Model_1104;0.68;0.55;1.55;0.60;1.47;0.99;1.74;0.42;0.68;1;2;1;2;1;2;1;1;2;;80.064;115.07;334.148;59.751;150.091;29.941;137.366;26.055;353.151;2.206
Model_1105;0.47;0.66;1.40;0.46;1.07;0.75;1.90;0.56;0.62;2;1;1;2;2;1;1;1;2;;114.8;121.99;362.806;56.067;239.779;36.965;134.316;21.106;394.09;2.326
Model_1106;0.44;0.67;1.61;0.71;0.95;0.96;1.67;0.70;0.55;2;1;1;2;1;1;1;2;2;;119.977;135.282;332.252;69.05;315.291;25.851;156.65;19.963;470.936;2.37
Model_1107;0.39;0.69;1.84;0.42;1.21;0.70;1.46;0.48;0.71;2;1;2;2;2;2;1;2;2;;130.757;140.503;282.484;60.434;230.902;39.936;163.658;24.36;356.405;2.633
Model_1108;0.68;0.49;1.33;0.50;1.28;1.07;1.50;0.37;0.59;2;2;2;1;2;1;2;1;1;;76.062;127.913;379.107;64.059;165.775;27.166;157.692;26.644;422.258;2.118
Model_1109;0.77;0.58;1.72;0.84;1.43;0.72;1.83;0.60;0.88;1;2;1;1;2;2;2;1;1;;73.913;118.718;306.179;51.923;180.002;28.42;132.654;22.966;294.945;2.168
Model_1110;0.65;0.74;1.45;0.51;1.44;0.97;1.56;0.30;0.63;1;2;2;1;2;1;2;1;1;;89.72;144.064;386.435;57.311;161.625;32.487;161.356;27.355;429.924;2.548
Model_1111;0.60;0.53;1.35;0.73;1.20;1.15;1.63;0.58;0.50;2;2;1;1;1;2;2;2;1;;88.544;120.224;396.162;75.804;189.434;20.004;144.045;21.86;498.074;2.155
Model_1112;0.32;0.76;1.41;0.83;0.94;0.95;1.75;0.30;0.74;2;2;2;2;2;1;1;1;2;;151.251;152.787;375.438;56.003;310.026;26.076;164.548;28.713;370.43;2.521
Model_1113;0.50;0.72;1.65;0.57;1.50;0.71;1.60;0.52;0.86;2;2;2;2;2;1;2;1;2;;110.544;133.661;321.987;46.436;166.058;35.081;146.053;24.887;329.783;2.603
Model_1114;0.64;0.59;1.42;0.64;0.96;0.99;1.54;0.73;0.54;1;1;1;2;2;2;2;2;2;;78.711;141.729;373.534;71.456;290.147;26.036;168.73;18.473;490.447;2.194
Model_1115;0.52;0.76;1.36;0.47;1.37;0.75;2.03;0.54;0.54;1;1;1;2;2;2;1;1;2;;115.168;108.272;406.057;61.698;163;37.438;119.157;22.608;464.383;2.583
Model_1116;0.60;0.77;1.57;0.60;1.39;0.90;1.73;0.61;0.70;2;1;1;2;2;1;1;2;2;;96.624;134.483;355.634;56.5;184.728;33.541;150.858;22.484;378.797;2.619
Model_1117;0.60;0.48;1.54;0.81;1.22;0.65;1.48;0.56;0.59;1;1;1;2;2;2;1;1;1;;84.286;125.769;339.597;68.633;197.717;27.773;161.543;22.693;421.799;2.152
Model_1118;0.36;0.61;1.66;0.80;1.24;0.87;1.81;0.32;0.65;2;1;2;1;1;1;2;1;1;;155.122;114.486;313.844;61.301;206.846;26.929;138.551;29.829;366.332;2.436
Model_1119;0.72;0.56;1.84;0.70;1.08;0.67;1.72;0.48;0.81;2;2;2;2;1;2;1;2;2;;72.302;128.078;274.99;52.523;270.606;30.362;145.748;24.324;304.573;2.075
Model_1120;0.44;0.75;1.37;0.57;1.28;0.89;1.62;0.53;0.75;1;1;2;2;1;2;1;2;1;;120.684;148.557;391.004;51.809;193.518;33.91;159.166;24.217;361.833;2.625
