;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_527;0.43;0.57;1.50;0.51;1.06;0.85;1.86;0.48;0.67;2;2;2;1;2;2;2;1;2;;119.128;120.378;325.702;54.685;241.896;33.395;134.623;22.97;348.058;2.255
Model_528;0.41;0.59;1.69;0.64;1.15;0.84;1.85;0.42;0.76;1;1;1;1;2;1;2;2;1;;127.973;118.911;294.485;52.644;232.47;31.153;136.768;26.364;305.681;2.336
Model_529;0.44;0.64;1.66;0.63;1.04;0.85;1.63;0.45;0.65;1;2;1;1;2;2;1;1;1;;117.915;135.912;310.596;59.356;274.64;31.158;159.912;24.804;388.071;2.371
Model_530;0.57;0.67;1.69;0.55;1.03;0.86;1.78;0.58;0.64;1;2;1;2;1;2;1;2;1;;95.237;128.798;306.764;59.095;284.324;33.336;148.259;21.331;386.347;2.331
Model_531;0.56;0.66;1.66;0.64;1.05;0.82;1.84;0.43;0.71;2;2;2;1;2;1;2;1;1;;96.518;127.074;310.686;56.267;275.726;31.834;146.138;24.882;344.759;2.266
Model_532;0.51;0.53;1.51;0.65;1.04;1.00;1.63;0.53;0.77;1;1;2;1;2;1;2;1;1;;96.356;134.597;326.583;53.128;256.101;28.325;152.603;22.912;322.103;2.126
Model_533;0.55;0.56;1.71;0.57;1.14;0.83;1.65;0.53;0.70;2;2;2;2;1;1;1;1;1;;94.445;125.816;295.269;56.389;236.837;32.796;149.54;22.533;342.439;2.266
Model_534;0.56;0.57;1.65;0.63;1.15;0.95;1.68;0.51;0.72;2;1;2;1;1;2;2;2;1;;93.424;125.775;308.765;56.317;233.709;30.136;149.641;23.632;337.687;2.245
Model_535;0.57;0.63;1.51;0.50;1.22;0.98;1.67;0.56;0.74;2;2;2;2;2;2;2;2;1;;93.996;132.487;340.783;51.554;209.451;32.86;151.368;22.28;339.75;2.309
Model_536;0.54;0.64;1.58;0.63;1.04;0.84;1.64;0.46;0.61;2;2;1;1;2;2;2;1;2;;98.892;134.717;330.741;62.658;270.845;30.896;159.127;24.13;419.305;2.276
Model_537;0.42;0.57;1.61;0.67;1.03;0.94;1.67;0.44;0.65;2;2;2;2;2;1;2;1;1;;121.213;128.601;312.802;61.059;266.362;27.798;153.258;25.101;374.801;2.288
Model_538;0.52;0.59;1.65;0.52;1.21;0.92;1.68;0.47;0.74;1;1;1;1;2;2;1;2;2;;101.388;124.619;304.424;51.095;214.662;33.035;145.877;24.459;327.431;2.325
Model_539;0.56;0.63;1.70;0.50;1.19;0.95;1.73;0.48;0.72;1;1;1;2;2;1;2;2;1;;96.427;123.782;300.376;52.417;227.059;33.071;146.419;23.981;335.239;2.333
Model_540;0.42;0.55;1.50;0.69;1.20;0.80;1.74;0.56;0.59;2;2;2;1;2;2;2;2;1;;125.396;117.037;342.637;66.273;200.272;29.54;138.474;22.47;403.942;2.321
Model_541;0.45;0.66;1.63;0.68;1.15;0.94;1.85;0.45;0.72;1;1;1;2;1;2;1;2;1;;119.507;123.698;317.911;56.757;238.367;29.697;142.317;25.693;339.394;2.36
Model_542;0.53;0.57;1.52;0.61;1.07;0.92;1.80;0.53;0.74;2;1;2;1;2;2;1;1;1;;96.953;126.694;328.514;54.283;248.506;30.818;142.182;22.605;325.103;2.168
Model_543;0.56;0.55;1.52;0.53;1.18;0.96;1.83;0.54;0.59;2;1;1;2;2;2;2;1;1;;95.768;110.892;331.813;64.209;205.637;29.967;128.935;21.787;391.728;2.225
Model_544;0.45;0.61;1.50;0.68;0.99;0.98;1.85;0.57;0.73;1;1;1;2;1;2;2;1;2;;112.374;130.509;334.631;56.13;278.32;28.405;145.632;22.087;337.003;2.2
Model_545;0.58;0.61;1.67;0.53;1.21;0.88;1.81;0.52;0.65;2;2;2;2;2;1;2;1;2;;94.34;116.091;307.82;58.129;215.72;33.12;136.916;22.585;363.572;2.292
Model_546;0.53;0.61;1.48;0.69;1.15;0.93;1.64;0.56;0.76;2;1;1;2;2;1;1;1;2;;98.218;136.587;346.831;55.178;228.298;29.391;154.823;22.951;340.269;2.259
Model_547;0.52;0.59;1.51;0.67;1.20;0.83;1.69;0.49;0.76;1;2;2;2;1;1;1;2;1;;101.067;130.822;338.199;54.859;212.912;30.793;148.532;24.542;328.106;2.261
Model_548;0.60;0.67;1.53;0.62;1.12;0.88;1.77;0.50;0.73;1;1;1;1;1;1;1;1;2;;89.834;132.651;340.73;54.727;245.248;31.885;150.417;23.641;349.52;2.305
Model_549;0.55;0.59;1.58;0.69;1.08;0.98;1.62;0.49;0.63;2;2;2;1;2;2;2;2;1;;95.228;131.851;330.349;63.529;253.86;27.215;158.87;24.025;399.871;2.247
Model_550;0.41;0.64;1.67;0.58;1.06;0.79;1.85;0.40;0.71;2;2;1;2;1;1;2;1;1;;127.262;123.951;299.338;54.146;263.027;33.143;141.972;25.73;334.993;2.342
Model_551;0.47;0.61;1.67;0.65;1.16;0.79;1.80;0.43;0.70;1;2;2;2;2;2;2;2;1;;113.566;120.797;305.873;57.474;231.892;31.878;141.686;25.689;340.281;2.321
Model_552;0.46;0.59;1.63;0.56;1.22;0.93;1.64;0.53;0.74;1;1;2;1;2;1;2;1;2;;113.261;126.722;310.673;52.213;211.504;31.891;149.596;23.31;331.455;2.383
Model_553;0.60;0.56;1.56;0.59;1.08;0.89;1.83;0.43;0.72;1;1;2;2;2;2;2;1;1;;85.877;121.779;319.263;55.654;246.478;31.428;138.928;24.753;327.425;2.12
Model_554;0.52;0.62;1.58;0.70;1.21;0.99;1.68;0.50;0.63;2;2;1;2;2;1;1;2;1;;104.696;126.864;336.228;64.111;214.52;27.12;150.838;24.316;398.6;2.327
Model_555;0.53;0.61;1.50;0.67;1.22;0.90;1.77;0.50;0.60;1;1;1;1;1;1;1;1;1;;103.496;119.305;351.609;65.573;202.884;28.86;140.324;23.838;410.352;2.3
Model_556;0.43;0.67;1.56;0.59;1.11;0.90;1.64;0.48;0.76;2;2;2;1;1;1;1;1;1;;120.365;140.936;330.233;51.377;248.503;32.036;157.938;24.587;338.968;2.417
Model_557;0.41;0.58;1.51;0.67;0.98;0.92;1.69;0.50;0.72;1;1;1;2;1;1;2;1;1;;120.124;136.017;329.038;56.46;279.683;28.758;155.975;23.746;346.908;2.243
Model_558;0.45;0.55;1.59;0.68;1.15;0.88;1.86;0.59;0.67;2;1;1;2;2;1;1;2;1;;116.688;115.839;316.364;60.932;223.183;29.351;132.555;21.705;347.238;2.265
Model_559;0.49;0.61;1.57;0.68;1.17;0.87;1.86;0.43;0.70;1;1;2;2;1;2;1;1;2;;109.783;119.484;326.44;58.121;223.318;30.158;137.553;25.655;343.845;2.277
Model_560;0.60;0.58;1.50;0.52;1.03;0.90;1.84;0.49;0.76;1;1;2;1;2;1;2;2;2;;84.443;127.233;328.215;50.13;259.74;32.585;140.659;23.01;314.568;2.095
Model_561;0.47;0.67;1.51;0.59;0.98;0.91;1.82;0.47;0.72;1;2;1;2;2;2;1;1;1;;110.526;135.601;336.272;54.251;289.205;31.536;150.348;23.906;348.413;2.295
Model_562;0.46;0.55;1.57;0.56;1.01;0.79;1.87;0.50;0.69;1;2;2;2;2;2;1;1;1;;109.67;121.766;309.949;56.059;264.836;33.041;134.639;22.518;334.133;2.179
Model_563;0.50;0.63;1.50;0.60;1.21;0.83;1.82;0.42;0.76;1;2;1;2;1;2;1;2;2;;107.236;125.941;338.033;52.307;208.837;32.683;140.651;25.834;321.811;2.277
Model_564;0.49;0.67;1.59;0.53;0.99;0.86;1.75;0.41;0.76;1;2;1;1;2;1;1;2;2;;105.534;138.058;315.346;49.116;289.768;33.316;153.582;25.154;331.85;2.299
Model_565;0.57;0.67;1.68;0.51;1.09;0.79;1.69;0.56;0.64;2;2;1;1;2;1;2;2;2;;95.809;131.265;310.155;56.603;260.921;35.564;153.644;21.718;391.475;2.372
Model_566;0.42;0.66;1.59;0.50;1.00;1.02;1.87;0.42;0.59;2;1;1;2;2;2;1;2;2;;126.837;118.782;316.737;59.176;278.779;29.152;134.817;24.612;407.024;2.351
Model_567;0.45;0.53;1.64;0.68;1.00;0.84;1.71;0.49;0.68;1;1;1;2;2;1;2;1;2;;110.36;125.958;299.57;59.182;274.639;29.109;148.057;23.57;351.076;2.179
Model_568;0.55;0.59;1.60;0.53;1.04;1.00;1.83;0.47;0.74;2;1;2;2;1;1;2;1;1;;94.172;125.12;309.916;52.28;264.107;30.804;141.855;23.579;320.356;2.168
Model_569;0.52;0.55;1.59;0.65;1.10;0.98;1.71;0.47;0.66;1;1;1;2;1;1;1;1;1;;99.495;123.459;316.903;61.147;240.075;27.92;146.423;24.22;364.957;2.216
Model_570;0.45;0.57;1.70;0.61;1.17;1.02;1.70;0.42;0.75;2;2;2;1;1;2;2;1;2;;116.058;123.935;293.986;52.548;227.072;29.117;145.442;26.003;318.305;2.308
Model_571;0.49;0.58;1.48;0.52;1.02;0.90;1.73;0.49;0.66;2;1;2;1;1;2;1;1;1;;104.708;129.014;335.638;56.509;259.661;32.295;148.038;22.818;369.356;2.232
Model_572;0.54;0.57;1.66;0.69;1.02;0.93;1.70;0.48;0.71;2;2;2;2;1;1;2;2;1;;94.2;130.876;304.32;58.251;278.35;28.471;153.303;24.12;344.618;2.164
Model_573;0.43;0.65;1.60;0.56;1.02;0.87;1.87;0.47;0.62;2;2;1;2;2;1;2;1;1;;123.491;120.857;316.345;59.78;273.618;31.822;137.599;23.598;386.592;2.329
Model_574;0.43;0.54;1.69;0.53;1.18;0.86;1.72;0.42;0.77;2;2;1;2;1;1;1;2;2;;119.605;121.63;287.094;49.409;217.563;32.616;138.835;25.758;301.678;2.287
Model_575;0.45;0.57;1.51;0.56;1.09;0.83;1.79;0.56;0.77;1;1;2;1;1;1;2;1;1;;112.533;127.206;325.845;50.614;237.882;32.772;141.52;21.939;309.505;2.242
Model_576;0.57;0.58;1.49;0.53;1.02;0.79;1.74;0.47;0.68;2;2;1;1;1;1;2;1;1;;90.131;130.357;333.102;55.676;262.235;33.867;148.864;23.102;359.071;2.155
Model_577;0.44;0.62;1.72;0.54;1.23;0.82;1.62;0.51;0.75;2;2;2;1;2;2;2;1;2;;118.984;128.772;296.321;50.493;216.246;34.454;151.374;23.805;327.351;2.442
Model_578;0.41;0.63;1.50;0.60;1.15;0.94;1.68;0.50;0.63;1;1;2;2;1;1;2;1;2;;127.063;128.971;345.708;60.552;223.045;29.783;151.979;23.881;399.718;2.425
Model_579;0.57;0.64;1.67;0.68;1.06;0.82;1.67;0.51;0.68;1;2;2;1;2;2;1;2;2;;92.549;134.73;313.454;59.269;273.804;30.976;157.879;23.577;374.361;2.262
Model_580;0.47;0.60;1.52;0.64;1.03;0.82;1.83;0.48;0.73;2;2;1;2;2;1;2;1;2;;109.298;128.496;327.849;55.043;262.924;30.983;143.815;23.814;332.803;2.196
Model_581;0.59;0.54;1.49;0.55;1.03;1.01;1.78;0.59;0.70;2;1;2;2;1;2;2;2;2;;84.866;126.625;331.2;56.097;256.097;29.879;142.951;20.642;342.96;2.092
Model_582;0.46;0.58;1.60;0.50;1.20;0.92;1.88;0.49;0.70;2;2;2;1;1;1;2;1;2;;115.359;115.297;309.789;52.708;208.889;32.867;131.016;23.244;328.411;2.31
Model_583;0.42;0.65;1.60;0.55;1.09;0.86;1.81;0.55;0.76;1;2;2;2;2;1;2;1;1;;122.271;129.314;315.83;50.775;252.367;33.315;145.401;22.568;319.727;2.36
Model_584;0.51;0.55;1.53;0.51;0.98;0.80;1.80;0.53;0.67;2;2;1;1;1;2;2;1;2;;98.51;125.939;316.43;55.39;272.997;33.996;141.355;21.306;352.494;2.138
Model_585;0.41;0.66;1.56;0.61;1.20;0.89;1.69;0.42;0.59;2;1;1;2;2;2;2;2;1;;131.335;124.843;339.369;63.448;212.77;30.348;148.051;26.143;422.73;2.459
Model_586;0.51;0.55;1.66;0.68;0.97;0.97;1.86;0.45;0.77;2;1;1;1;1;1;2;1;2;;97.381;126.713;293.994;53.037;289.452;28.049;140.247;24.554;304.989;2.055
Model_587;0.49;0.67;1.59;0.60;1.00;0.88;1.73;0.50;0.71;1;2;1;1;1;1;1;1;2;;106.388;138.616;321.906;54.553;289.229;31.728;156.614;23.35;360.123;2.324
Model_588;0.55;0.65;1.54;0.60;1.15;0.87;1.87;0.53;0.70;2;1;2;1;1;1;2;1;2;;99.319;122.568;336.382;56.047;231.699;32.283;140.188;22.807;349.779;2.279
Model_589;0.54;0.55;1.52;0.57;1.18;0.78;1.82;0.42;0.73;2;2;1;1;2;2;1;1;1;;97.512;120.49;324.956;53.67;210.194;33.37;135.335;25.167;320.675;2.175
Model_590;0.45;0.62;1.51;0.60;1.06;0.87;1.85;0.51;0.61;1;1;2;1;2;1;1;2;2;;117.407;119.622;337.983;61.728;250.946;30.73;136.41;23.064;396.683;2.311
Model_591;0.60;0.59;1.70;0.57;1.21;0.91;1.70;0.59;0.63;1;2;2;1;1;1;2;2;1;;89.636;119.859;306.5;61.396;217.161;31.47;145.124;21.398;379.255;2.307
Model_592;0.46;0.63;1.66;0.63;1.23;1.00;1.73;0.57;0.63;1;1;2;1;2;1;2;1;1;;117.378;120.133;317.901;61.802;211.769;28.519;144.671;22.594;385.78;2.424
Model_593;0.54;0.64;1.47;0.58;1.07;0.96;1.75;0.49;0.76;2;1;1;1;2;1;1;2;1;;96.998;134.971;345.139;51.88;252.19;31.136;150.531;23.882;331.521;2.23
Model_594;0.57;0.59;1.71;0.60;1.07;0.82;1.76;0.49;0.67;2;1;2;1;1;1;2;1;1;;92.427;122.122;296.486;58.645;262.134;32.237;145.302;23.31;355.102;2.228
Model_595;0.43;0.58;1.54;0.58;0.98;0.91;1.75;0.53;0.74;2;2;1;1;1;2;1;2;2;;114.906;133.999;317.645;52.318;278.763;31.052;148.848;22.485;330.539;2.209
Model_596;0.58;0.67;1.58;0.62;1.06;0.94;1.81;0.60;0.69;1;2;1;2;2;2;2;2;2;;92.651;130.814;330.25;57.823;269.051;30.847;149.164;21.428;365.732;2.302
Model_597;0.59;0.53;1.72;0.62;1.18;0.85;1.75;0.43;0.68;1;1;2;1;2;1;1;2;1;;88.596;115.16;292.191;58.844;221.615;31.092;138.019;25.372;338.71;2.189
Model_598;0.53;0.66;1.69;0.53;0.98;0.91;1.64;0.46;0.68;2;1;1;1;1;2;2;2;2;;99.133;138.931;301.24;54.405;302.198;32.667;163.232;23.918;374.54;2.306
Model_599;0.54;0.59;1.67;0.53;1.18;0.86;1.83;0.49;0.61;1;2;2;2;1;1;1;1;1;;100.493;112.292;304.817;61.278;219.03;32.728;131.339;23.05;377.934;2.299
Model_600;0.44;0.66;1.59;0.70;1.10;0.81;1.65;0.51;0.63;1;2;2;2;1;1;1;1;2;;119.994;135.668;334.004;62.685;252.743;30.039;158.272;23.962;409.619;2.396
Model_601;0.59;0.64;1.66;0.63;0.99;0.78;1.69;0.59;0.61;2;2;1;2;2;2;1;1;2;;89.77;133.032;314.147;63.85;297.976;31.998;155.605;21.124;414.269;2.235
Model_602;0.52;0.59;1.72;0.62;1.07;0.82;1.66;0.43;0.73;2;1;2;2;1;1;2;1;2;;99.493;129.339;292.857;54.744;263.704;31.592;153.702;25.259;335.382;2.251
Model_603;0.55;0.56;1.66;0.66;1.02;0.97;1.68;0.47;0.61;1;1;1;1;2;2;2;1;1;;93.392;123.647;305.597;64.495;273.746;27.252;150.291;23.918;394.395;2.196
Model_604;0.48;0.56;1.52;0.56;1.14;0.78;1.85;0.56;0.75;1;2;2;2;2;2;1;2;2;;107.243;122.439;324.19;52.154;222.13;33.548;134.484;21.852;312.715;2.22
Model_605;0.49;0.58;1.59;0.51;1.20;0.99;1.82;0.59;0.67;1;1;2;2;1;2;1;1;2;;108.09;116.782;316.584;56.227;209.628;31.361;134.938;21.101;350.534;2.326
Model_606;0.50;0.65;1.65;0.61;1.11;0.78;1.82;0.51;0.67;1;2;2;1;2;1;2;2;1;;107.935;123.31;313.55;58.036;250.45;33.108;143.076;23.346;361.998;2.32
Model_607;0.56;0.53;1.71;0.64;1.14;0.99;1.78;0.44;0.65;1;2;1;1;2;1;2;2;1;;93.293;114.47;292.57;61.302;231.22;27.804;136.433;24.922;352.425;2.176
Model_608;0.45;0.66;1.53;0.64;1.00;0.88;1.78;0.41;0.72;1;1;2;2;2;2;1;1;2;;114.91;134.381;333.111;55.142;282.538;30.738;152.014;25.729;350.844;2.293
Model_609;0.54;0.53;1.61;0.70;0.99;0.91;1.65;0.45;0.69;2;2;2;1;1;1;1;2;2;;91.315;132.373;309.143;58.787;281.125;27.896;154.77;24.661;356.419;2.096
Model_610;0.53;0.53;1.51;0.58;1.23;0.97;1.86;0.50;0.64;2;2;1;2;2;1;1;1;1;;100.709;112.394;330.986;61.614;191.912;29.34;127.698;23.062;358.856;2.191
Model_611;0.46;0.65;1.61;0.65;1.18;0.89;1.69;0.45;0.76;2;1;2;2;2;1;2;2;2;;115.566;131.082;321.297;53.444;229.244;30.895;151.953;25.838;331.687;2.369
Model_612;0.48;0.67;1.60;0.58;1.02;0.84;1.85;0.59;0.69;1;1;2;1;1;1;2;1;2;;110.114;128.073;320.261;55.469;280.511;32.981;145.913;21.358;358.115;2.335
Model_613;0.40;0.58;1.67;0.61;1.09;0.91;1.84;0.55;0.67;2;2;2;2;2;1;2;1;2;;128.356;118.283;298.517;58.169;247.049;30.214;136.447;22.262;347.547;2.338
Model_614;0.42;0.65;1.69;0.66;1.18;0.81;1.75;0.46;0.74;1;1;1;2;2;2;2;1;2;;125.46;125.812;304.534;54.545;231.676;31.822;147.53;25.52;332.316;2.418
Model_615;0.49;0.59;1.73;0.62;1.00;1.00;1.70;0.57;0.63;1;1;2;2;1;2;1;1;2;;104.789;126.35;292.942;61.938;287.985;28.016;150.817;21.587;383.974;2.276
Model_616;0.50;0.56;1.47;0.51;1.07;0.95;1.86;0.52;0.73;1;2;1;1;1;1;1;1;1;;102.159;124.763;331.546;51.801;238.469;31.841;135.874;22.128;321.084;2.166
Model_617;0.45;0.54;1.54;0.58;1.10;0.81;1.84;0.44;0.65;1;1;2;1;1;1;1;2;1;;114.916;116.117;319.26;59.082;229.926;32.021;132.37;24.575;353.892;2.234
Model_618;0.47;0.55;1.50;0.65;1.20;0.79;1.71;0.57;0.71;1;1;2;2;2;2;2;2;2;;110.391;124.271;335.861;57.364;205.29;31.502;144.65;22.316;342.898;2.273
Model_619;0.40;0.53;1.64;0.66;1.20;0.95;1.74;0.42;0.60;2;2;2;1;1;1;2;2;1;;131.289;112.003;306.736;64.268;204.567;27.046;135.523;26.042;381.267;2.321
Model_620;0.59;0.57;1.73;0.67;1.02;0.94;1.67;0.55;0.61;1;1;1;2;1;1;1;2;1;;87.019;124.979;296.676;65.668;281.247;27.723;151.8;22.21;395.957;2.204
Model_621;0.49;0.66;1.67;0.50;1.18;0.89;1.74;0.44;0.65;1;2;1;1;2;2;2;1;1;;111.282;123.882;309.212;55.365;226.776;34.013;145.732;24.52;373.553;2.394
Model_622;0.53;0.55;1.51;0.69;1.10;0.85;1.64;0.59;0.62;1;2;2;2;2;1;2;1;1;;97.113;128.279;341.262;65.315;236.636;28.915;153.59;21.389;399.919;2.225
Model_623;0.54;0.65;1.47;0.59;1.06;0.90;1.64;0.58;0.61;1;1;2;2;2;1;2;1;2;;98.604;136.978;359.145;62.585;257.109;30.764;159.808;21.585;427.525;2.309
Model_624;0.51;0.61;1.70;0.52;1.03;0.83;1.87;0.41;0.71;1;2;2;2;1;1;2;1;1;;102.899;121.84;290.546;53.054;272.964;33.804;138.904;24.686;327.71;2.222
Model_625;0.53;0.63;1.66;0.66;1.04;0.87;1.86;0.57;0.64;1;2;1;2;1;1;2;2;1;;100.986;121.564;309.957;62.454;274.515;30.063;140.236;21.886;376.69;2.242
Model_626;0.49;0.55;1.66;0.66;1.12;0.87;1.87;0.48;0.62;2;1;2;1;1;1;1;2;1;;108.427;110.69;302.964;63.548;234.424;29.231;128.668;23.917;367.363;2.232
Model_627;0.54;0.61;1.56;0.59;1.21;1.00;1.84;0.42;0.69;1;1;2;2;1;1;2;1;2;;100.718;118.098;328.14;56.976;210.466;29.721;137.642;25.472;347.525;2.268
Model_628;0.46;0.65;1.54;0.54;1.10;0.98;1.73;0.45;0.67;2;1;2;2;1;2;1;1;1;;115.709;130.051;333.663;56.156;244.657;31.019;150.27;24.533;372.226;2.359
Model_629;0.54;0.59;1.51;0.58;1.05;0.95;1.87;0.45;0.63;1;1;2;1;1;2;2;2;1;;98.127;118.297;333.831;60.834;252.815;29.818;135.261;24.092;376.43;2.191
Model_630;0.41;0.58;1.56;0.55;0.98;0.94;1.82;0.49;0.73;1;1;1;2;2;2;2;2;2;;120.468;127.598;311.105;52.353;277.443;31.039;142.954;23.354;325.958;2.231
Model_631;0.40;0.54;1.59;0.55;1.16;0.89;1.81;0.55;0.60;1;1;2;2;1;2;2;1;1;;128.808;111.025;311.96;62.714;211.795;31.044;129.781;21.814;377.717;2.349
Model_632;0.49;0.58;1.57;0.59;1.13;1.02;1.72;0.41;0.75;1;2;1;2;1;2;2;1;1;;106.017;127.953;317.389;53.044;232.217;29.492;146.969;25.879;323.334;2.246
Model_633;0.42;0.65;1.55;0.66;1.03;0.82;1.66;0.59;0.75;2;2;2;2;2;2;2;2;1;;120.19;142.018;331.411;54.502;275.132;31.401;160.46;22.32;343.705;2.338
Model_634;0.59;0.61;1.64;0.54;1.13;1.00;1.62;0.40;0.70;1;1;2;1;2;1;2;2;2;;89.35;130.44;311.962;54.239;241.479;30.664;156.243;25.882;356.823;2.275
Model_635;0.50;0.65;1.69;0.54;1.06;0.94;1.74;0.48;0.61;1;1;2;1;1;1;2;2;1;;108.104;123.792;305.475;59.94;267.058;30.967;146.912;23.59;397.792;2.348
Model_636;0.46;0.65;1.50;0.56;0.98;0.96;1.76;0.54;0.77;2;2;2;2;1;1;1;1;2;;109.939;139.804;334.3;50.33;285.269;31.125;152.966;22.413;335.621;2.25
Model_637;0.47;0.56;1.69;0.54;1.06;0.79;1.75;0.48;0.59;2;2;1;2;2;2;1;2;1;;110.907;116.237;293.282;62.797;252.569;33.136;137.065;23.093;388.764;2.286
Model_638;0.53;0.66;1.48;0.63;1.01;0.83;1.66;0.49;0.70;1;2;2;2;1;1;1;1;2;;98.076;144.135;349.949;56.816;279.127;31.547;162.348;23.623;376.045;2.284
Model_639;0.48;0.66;1.67;0.68;1.11;0.90;1.63;0.51;0.73;2;1;1;2;1;2;1;1;2;;110.004;137.532;312.756;56.133;257.539;30.319;159.876;24.2;353.831;2.374
Model_640;0.43;0.56;1.48;0.55;1.06;0.90;1.67;0.52;0.77;1;1;1;2;2;1;1;1;1;;115.011;133.512;329.028;50.568;244.382;31.687;148.835;22.945;320.703;2.245
Model_641;0.58;0.55;1.73;0.50;1.08;1.00;1.68;0.51;0.60;1;2;2;2;1;1;1;2;2;;89.231;118.996;289.457;61.383;250.185;29.418;143.493;22.264;387.209;2.236
Model_642;0.47;0.54;1.64;0.57;1.02;0.81;1.62;0.58;0.60;1;2;2;2;2;2;1;2;1;;106.837;126.436;304.646;63.564;265.962;31.991;151.743;20.89;396.978;2.272
Model_643;0.50;0.57;1.71;0.59;1.07;0.82;1.69;0.47;0.74;1;2;1;1;2;2;2;1;2;;101.874;127.941;289.492;52.816;259.149;32.368;149.105;24.023;324.927;2.237
Model_644;0.54;0.59;1.47;0.51;1.12;0.81;1.64;0.57;0.68;2;1;2;1;1;2;1;1;1;;96.409;132.882;344.725;55.255;229.365;34.903;154.076;21.379;368.752;2.287
Model_645;0.42;0.56;1.48;0.65;1.12;0.93;1.71;0.54;0.74;2;1;1;1;1;1;1;2;2;;120.843;129.553;335.296;54.374;226.711;29.424;146.608;23.118;332.63;2.273
Model_646;0.43;0.59;1.71;0.51;1.21;0.97;1.85;0.52;0.75;2;1;2;2;1;1;2;1;2;;122.333;116.18;290.25;50.31;214.942;32.096;133.793;23.14;306.37;2.371
Model_647;0.57;0.62;1.58;0.62;1.19;0.81;1.82;0.41;0.66;2;2;2;1;2;2;1;2;1;;96.465;119.598;328.411;59.599;218.879;32.403;138.999;25.664;365.64;2.254
Model_648;0.43;0.66;1.64;0.51;1.11;1.00;1.87;0.58;0.69;1;1;2;1;2;1;2;2;2;;122.341;121.167;310.165;53.039;247.078;31.589;139.021;21.779;347.475;2.399
Model_649;0.41;0.61;1.62;0.62;0.97;0.93;1.77;0.41;0.62;1;2;2;2;2;1;2;1;2;;124.561;125.535;309.161;61.208;291.288;28.633;146.288;25.26;390.133;2.294
Model_650;0.58;0.62;1.71;0.65;1.15;0.96;1.82;0.50;0.74;1;2;2;1;1;2;2;1;1;;92.499;123.034;301.422;55.318;242.712;30.18;142.799;23.764;324.374;2.241
Model_651;0.54;0.62;1.57;0.65;1.02;0.98;1.78;0.55;0.75;2;1;1;2;1;2;2;1;1;;95.631;132.721;323.275;55.057;277.002;29.46;150.745;22.495;331.185;2.181
Model_652;0.46;0.56;1.65;0.69;1.10;0.86;1.75;0.43;0.72;1;2;2;2;2;1;1;2;2;;111.948;124.186;303.308;56.625;245.305;29.293;143.815;25.785;332.22;2.24
Model_653;0.51;0.63;1.62;0.61;1.16;0.86;1.71;0.46;0.65;1;2;2;1;2;2;1;2;1;;105.685;126.243;321.805;59.634;230.798;31.805;148.685;24.662;379.27;2.339
Model_654;0.50;0.64;1.56;0.54;0.98;0.85;1.74;0.56;0.72;2;2;2;2;2;2;1;1;2;;102.65;137.087;322.889;52.909;290.523;33.443;153.821;21.582;349.112;2.239
Model_655;0.47;0.56;1.50;0.68;1.21;0.91;1.85;0.52;0.63;2;1;1;2;1;1;2;2;2;;114.225;113.929;339.384;63.627;199.982;28.418;132.139;23.369;375.669;2.261
Model_656;0.44;0.64;1.52;0.52;1.14;0.99;1.71;0.51;0.69;1;2;2;2;2;2;2;1;1;;118.688;131.091;336.555;54.266;229.466;31.485;150.809;23.245;360.673;2.388
Model_657;0.46;0.60;1.52;0.68;1.16;0.86;1.76;0.53;0.71;2;1;2;2;2;2;1;2;2;;114.467;126.059;337.04;57.642;223.155;30.312;145.184;23.562;347.953;2.308
Model_658;0.46;0.60;1.56;0.66;1.03;0.85;1.72;0.50;0.67;1;2;2;1;1;2;1;1;1;;111.675;131.45;326.009;59.366;268.013;30.337;151.879;23.487;369.921;2.273
Model_659;0.52;0.67;1.49;0.51;1.15;0.83;1.64;0.48;0.74;2;2;1;2;1;2;1;1;1;;102.609;140.598;345.254;50.888;230.203;35.145;156.905;23.843;349.321;2.382
Model_660;0.58;0.62;1.61;0.51;1.05;0.88;1.66;0.50;0.69;1;1;1;1;2;1;2;2;2;;89.799;132.998;314.439;53.836;266.237;33.504;156.318;22.977;362.978;2.256
Model_661;0.45;0.61;1.58;0.54;0.97;0.92;1.84;0.43;0.60;1;2;2;2;1;1;2;1;1;;116.016;120.746;314.88;61.065;286.334;30.34;137.704;24.032;394.36;2.261
Model_662;0.55;0.62;1.66;0.61;1.00;0.88;1.80;0.41;0.71;1;2;2;1;1;1;1;1;1;;94.75;129.19;303.682;55.545;288.147;31.131;147.712;25.096;342.073;2.176
Model_663;0.46;0.58;1.58;0.63;1.02;0.83;1.77;0.54;0.69;2;1;1;2;2;2;2;2;2;;110.741;126.817;315.18;57.706;268.811;31.188;146.412;22.461;351.234;2.236
Model_664;0.42;0.59;1.48;0.68;0.98;0.90;1.70;0.57;0.60;2;1;1;2;1;2;2;2;2;;120.865;130.634;343.703;65.04;278.42;27.938;152.876;21.942;418.352;2.284
