;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_71;0.39;0.65;1.27;0.54;0.95;0.97;1.92;0.50;0.70;2;1;2;1;2;1;1;2;1;;128.521;132.846;391.755;53.151;270.196;30.781;141.609;23.033;351.155;2.235
Model_72;0.36;0.66;1.34;0.69;1.19;0.94;1.85;0.63;0.69;1;2;2;1;1;1;2;1;1;;141.742;129.743;390.324;58.325;203.988;29.129;143.381;21.836;365.308;2.416
Model_73;0.39;0.58;1.30;0.46;1.07;1.07;1.65;0.50;0.77;1;1;2;2;2;2;1;2;1;;124.538;138.873;369.944;51.871;224.396;30.436;150.511;23.331;336.742;2.274
Model_74;0.53;0.51;1.36;0.47;1.28;0.83;1.87;0.61;0.65;1;1;1;2;2;1;1;1;2;;99.276;113.957;359.448;57.494;166.783;34.716;124.84;19.932;353.282;2.169
Model_75;0.43;0.56;1.40;0.45;1.06;1.07;1.60;0.41;0.66;2;2;2;1;2;1;2;2;2;;116.546;134.348;348.445;53.201;234.025;29.196;155.914;24.901;376.519;2.281
Model_76;0.35;0.65;1.23;0.71;1.03;0.80;1.83;0.62;0.71;2;1;2;2;1;2;2;2;2;;140.243;138.21;413.84;57.3;240.17;30.057;149.516;21.73;361.393;2.303
Model_77;0.47;0.70;1.31;0.44;0.92;0.84;1.93;0.60;0.79;1;1;1;1;2;2;2;2;1;;108.028;139.01;380.918;54.44;289.103;35.551;145.852;20.489;340.83;2.263
Model_78;0.43;0.69;1.29;0.49;1.01;0.82;1.81;0.55;0.80;1;1;2;1;1;1;1;1;1;;116.805;142.196;385.677;50.226;253.589;34.65;149.335;22.112;347.339;2.326
Model_79;0.52;0.69;1.32;0.66;0.93;1.00;1.87;0.62;0.64;1;1;1;2;2;2;1;1;1;;102.128;136.865;397.533;62.159;300.31;27.953;149.203;20.856;406.911;2.272
Model_80;0.51;0.49;1.23;0.63;1.26;1.05;1.67;0.40;0.56;1;2;1;1;2;2;2;2;2;;103.144;120.955;406.088;68.88;162.583;24.623;141.017;26.084;435.669;2.097
