;Radius_1;Radius_2;Radius_3;Radius_4;Radius_5;Radius_6;Radius_7;Radius_8;Radius_9;Radius_10;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_534;0.037;0.011;0.031;0.020;0.011;0.010;0.011;0.031;0.024;0.013;;290.2;236.3;246.8;357.3;85.3;279.3;252.6;221.8;333.5;231.4
Model_535;0.037;0.009;0.024;0.027;0.009;0.009;0.012;0.026;0.028;0.013;;309.7;228.8;361.2;211.5;79.9;226.8;228;308.3;270.3;161.4
Model_536;0.035;0.011;0.028;0.024;0.010;0.009;0.011;0.029;0.023;0.013;;320.9;217.5;286.6;255.3;69.1;320;264.9;250;374.3;217.6
Model_537;0.041;0.013;0.031;0.019;0.011;0.009;0.009;0.024;0.028;0.010;;286.8;118.6;264.8;408.4;60.6;241.2;344.1;366.6;267.3;287.7
Model_538;0.035;0.012;0.028;0.019;0.011;0.010;0.009;0.026;0.028;0.011;;337.6;155.5;297.8;398.1;74;217.2;325;316.9;253.6;262.1
Model_539;0.035;0.011;0.024;0.026;0.012;0.011;0.011;0.024;0.023;0.009;;340.9;175.8;373.4;224.3;88.9;182.8;292.2;355.6;396.3;343.7
Model_540;0.038;0.011;0.029;0.021;0.009;0.011;0.012;0.028;0.028;0.013;;286;206.6;274.8;325.4;33.9;202.4;246.6;264.2;251.3;209.6
Model_541;0.042;0.010;0.025;0.025;0.012;0.013;0.010;0.031;0.025;0.012;;251.1;238.5;319.8;235.8;99.1;144.6;200.5;234.7;319.7;222.1
Model_542;0.041;0.010;0.030;0.021;0.008;0.010;0.009;0.024;0.031;0.011;;289.4;180.6;272.8;341.6;60.5;180.9;331.2;367.1;230.1;219.3
Model_543;0.037;0.009;0.027;0.020;0.012;0.011;0.009;0.026;0.024;0.011;;313.9;287.9;308.9;361.2;89;192.2;311;319.8;345.8;269.4
Model_544;0.041;0.012;0.025;0.019;0.008;0.011;0.010;0.030;0.028;0.012;;258.6;170.1;332.9;390.1;126.6;192.7;231.9;247.6;257.3;230
Model_545;0.037;0.009;0.025;0.022;0.008;0.009;0.011;0.029;0.025;0.013;;298.8;272.1;333.5;305;65.1;267.4;232.1;256.8;321.8;185.1
Model_546;0.036;0.011;0.025;0.024;0.011;0.008;0.011;0.030;0.025;0.009;;310.8;140.4;322.2;275;47.1;259.5;207.9;243.1;339;278.5
Model_547;0.040;0.012;0.026;0.020;0.012;0.011;0.011;0.027;0.031;0.011;;276.8;143.7;319.8;366;44.3;167.3;238.9;292.8;209.7;240
Model_548;0.036;0.010;0.029;0.020;0.009;0.009;0.009;0.025;0.026;0.013;;327.9;234.5;289.7;358.1;78.8;283.8;350.5;338.7;296;204.4
Model_549;0.040;0.011;0.024;0.024;0.010;0.009;0.008;0.024;0.023;0.011;;299.7;184.6;369.9;254.2;113.5;270.6;334.3;380.4;385.1;260.2
Model_550;0.040;0.008;0.029;0.026;0.008;0.012;0.010;0.029;0.030;0.013;;273.2;265.8;264.2;226.2;32.7;118.8;239.6;259.5;233.8;147.9
Model_551;0.035;0.010;0.024;0.025;0.010;0.009;0.012;0.027;0.026;0.013;;327.7;217.9;363;237.8;52.4;265.4;234.3;285.7;303.2;185
Model_552;0.036;0.010;0.028;0.019;0.010;0.009;0.012;0.031;0.027;0.009;;302.9;183.8;274.6;429.7;56.5;222.4;203.9;224.6;285.6;301.4
Model_553;0.035;0.008;0.025;0.024;0.009;0.011;0.010;0.029;0.026;0.012;;327.4;300.6;331.8;259.1;58.2;159.5;245.4;259.4;304.4;189.2
Model_554;0.038;0.010;0.029;0.023;0.009;0.012;0.012;0.029;0.025;0.011;;284.1;234.7;267.2;284.9;37.9;167.3;233.2;249.6;323.4;261.8
Model_555;0.042;0.011;0.026;0.023;0.012;0.012;0.011;0.025;0.026;0.010;;269.9;175.7;324.5;284.5;65.1;149.6;263.4;334.4;304.8;288.4
Model_556;0.042;0.010;0.030;0.022;0.009;0.009;0.012;0.029;0.026;0.010;;251;189.4;248;322.4;61.4;234.6;212.5;254;308.3;260.6
Model_557;0.039;0.009;0.030;0.023;0.012;0.012;0.009;0.026;0.024;0.011;;293.5;277.2;267.6;278.1;81.2;158.4;316.6;318.4;352.4;258.9
Model_558;0.035;0.011;0.026;0.025;0.010;0.009;0.009;0.027;0.029;0.012;;337.7;149.7;321.4;242;52.3;216.5;285.8;297.4;249.4;182.1
Model_559;0.037;0.012;0.030;0.026;0.012;0.010;0.012;0.028;0.030;0.011;;299.9;126.5;258.5;230;84.1;181.4;240.7;262.2;235.6;211.6
Model_560;0.040;0.011;0.030;0.026;0.012;0.012;0.009;0.023;0.024;0.012;;299.8;211.1;286.7;215.8;86.3;177.9;376.8;392.1;359.2;253.6
Model_561;0.036;0.012;0.028;0.022;0.009;0.009;0.012;0.024;0.028;0.013;;322.9;166.9;303.4;305.9;104.7;289.7;292.3;341.9;262;207.8
Model_562;0.036;0.012;0.030;0.021;0.009;0.010;0.010;0.026;0.028;0.010;;322.1;137.4;267.6;340;64.3;195.7;301.9;310.7;263.4;277.1
Model_563;0.040;0.010;0.027;0.020;0.009;0.011;0.012;0.030;0.029;0.012;;263.5;220.5;293.5;366.6;42.5;178.7;205.5;239.8;237.8;212.7
Model_564;0.042;0.010;0.029;0.024;0.012;0.008;0.008;0.027;0.030;0.009;;271.1;124.1;266.7;274.4;52.6;190.4;273.2;306.6;245.9;218.4
Model_565;0.038;0.010;0.026;0.027;0.011;0.012;0.008;0.025;0.028;0.013;;314.8;202.8;331.4;205.3;88.9;137.8;327.3;348.9;273.2;177.5
Model_566;0.038;0.009;0.030;0.024;0.010;0.010;0.009;0.029;0.023;0.010;;292.7;249.6;254;265.4;76.5;206.1;276.6;262.2;390.6;274.4
Model_567;0.040;0.010;0.030;0.025;0.009;0.010;0.008;0.024;0.028;0.011;;300.6;174.8;276.6;245.5;55.9;171.5;357.4;373.9;283.6;213.2
Model_568;0.037;0.008;0.027;0.024;0.008;0.009;0.011;0.031;0.030;0.013;;295.8;254.1;286.2;266.6;35.1;199;204.3;228.1;233.4;139.3
Model_569;0.035;0.009;0.028;0.021;0.011;0.009;0.013;0.028;0.024;0.012;;317.6;291.3;288.6;343.7;70.6;292;237.2;258.3;349.1;228.4
Model_570;0.042;0.009;0.024;0.020;0.010;0.012;0.008;0.030;0.026;0.011;;257.4;259.5;343.8;363.1;131.5;144.6;228.1;257;301;236.7
Model_571;0.035;0.010;0.031;0.019;0.008;0.012;0.011;0.027;0.028;0.009;;327;195.2;251.2;419.3;93.2;136.8;271.6;286.2;261.3;327.7
Model_572;0.036;0.012;0.027;0.020;0.012;0.010;0.012;0.024;0.023;0.012;;319;208;325.4;352.1;65.8;297.2;306.2;340.5;363.2;290.2
Model_573;0.041;0.012;0.026;0.022;0.011;0.011;0.009;0.026;0.029;0.011;;279.1;140.1;321.1;305.4;74.6;162.4;280.1;323.2;246.2;235.4
Model_574;0.040;0.009;0.024;0.022;0.010;0.008;0.011;0.025;0.024;0.013;;285;273.7;366.3;304.3;48;340.3;260.1;336.5;352.2;190.7
Model_575;0.037;0.011;0.028;0.021;0.011;0.010;0.010;0.029;0.024;0.011;;300.2;201.9;283.5;333;80.6;241.7;263.2;257.9;345.2;273.5
Model_576;0.036;0.008;0.029;0.022;0.009;0.010;0.010;0.024;0.025;0.011;;330;312.5;287.3;311.8;84.7;199.1;332;358;333.3;238.5
Model_577;0.036;0.011;0.025;0.020;0.008;0.012;0.011;0.024;0.023;0.011;;324.1;235.6;358.9;351.8;54.8;198.8;312.9;352.7;365.7;321.6
Model_578;0.039;0.010;0.028;0.024;0.011;0.009;0.009;0.029;0.025;0.009;;284.5;166.5;273.9;270.1;56.9;206.8;249.6;265.3;339;278.2
Model_579;0.041;0.008;0.028;0.019;0.009;0.009;0.012;0.030;0.023;0.010;;255.2;329.4;274.1;425.8;33.7;260.5;205.8;239.9;383.5;285.2
Model_580;0.038;0.010;0.031;0.020;0.012;0.009;0.010;0.024;0.025;0.013;;306.4;250.4;270.5;358.5;62.1;304.2;347.7;354.7;319.2;217.5
Model_581;0.037;0.011;0.025;0.019;0.009;0.011;0.009;0.030;0.025;0.010;;300.5;192.3;330.4;402.7;116.5;187;251.2;249.8;324.2;301.4
Model_582;0.041;0.009;0.028;0.023;0.010;0.013;0.011;0.030;0.028;0.012;;258.2;253.8;275.4;280.6;53.2;122.3;217.1;242.4;259.5;199.6
Model_583;0.038;0.011;0.030;0.026;0.012;0.011;0.009;0.026;0.027;0.011;;305;163.9;268.5;224.3;60.9;163.1;312.8;316.8;290.7;230.8
Model_584;0.038;0.010;0.028;0.020;0.010;0.008;0.013;0.030;0.029;0.009;;281.8;157;272.7;396;88.9;242.3;186.6;237.4;250.5;265.3
Model_585;0.042;0.013;0.025;0.019;0.012;0.008;0.009;0.030;0.027;0.011;;255.4;126;322.7;408.5;93.3;315.5;213.7;253.9;280.2;239.4
Model_586;0.039;0.008;0.029;0.023;0.010;0.010;0.009;0.029;0.023;0.012;;282.5;339.5;267.1;281.3;96.8;218.6;274.6;263;382.9;212
Model_587;0.037;0.009;0.024;0.021;0.010;0.011;0.009;0.028;0.023;0.010;;308;271;353.5;335.7;101.7;183.8;261.3;283.8;380.6;295
Model_588;0.037;0.010;0.027;0.024;0.012;0.010;0.013;0.029;0.023;0.013;;292.2;270.2;299.4;259.8;47.8;272.3;223.2;244.7;373.3;220.7
Model_589;0.036;0.010;0.026;0.026;0.011;0.011;0.012;0.030;0.025;0.009;;307.8;183.2;304;235.7;60.7;157.5;205.9;237.9;339;293.3
Model_590;0.035;0.012;0.025;0.022;0.012;0.012;0.012;0.026;0.024;0.009;;328.7;160.4;345.4;314.7;76.5;165.8;254.7;303.6;354.8;362.7
Model_591;0.042;0.010;0.031;0.026;0.009;0.009;0.011;0.028;0.024;0.010;;256.3;193;239.4;233.1;55.6;241.8;243.2;272.5;367;264.7
Model_592;0.037;0.010;0.026;0.020;0.010;0.010;0.012;0.026;0.027;0.009;;306.1;184.1;321;383.3;95.9;185;240.7;307.1;284.7;311.4
Model_593;0.042;0.011;0.026;0.022;0.011;0.013;0.012;0.029;0.023;0.009;;251.7;198.7;306.6;318.4;51.1;149.4;204.5;256.6;382.8;364.1
Model_594;0.037;0.012;0.029;0.021;0.011;0.010;0.008;0.027;0.023;0.011;;312.3;179.2;279.5;321.9;125.1;253.8;332;302.6;371.9;292.3
Model_595;0.037;0.012;0.028;0.020;0.009;0.010;0.012;0.030;0.024;0.010;;291.9;173.6;280.1;375.5;38.3;243.8;224.7;235.8;346.2;322.4
Model_596;0.042;0.010;0.028;0.019;0.011;0.010;0.012;0.027;0.023;0.011;;255.4;263.6;288.1;404.6;53.4;263.2;244.3;285.3;370;296.9
Model_597;0.040;0.010;0.029;0.025;0.010;0.011;0.010;0.027;0.024;0.013;;276.9;252.7;276.6;230.1;85.5;208.4;287.5;292.5;346.3;211.7
Model_598;0.036;0.008;0.030;0.019;0.012;0.009;0.013;0.023;0.025;0.012;;318.4;358;284.8;410.6;140.3;284.2;304.8;354.7;322.1;229.2
Model_599;0.041;0.009;0.025;0.023;0.009;0.010;0.010;0.031;0.023;0.011;;258.1;270.9;321;284;107.8;219.1;212.7;233.8;381.3;244.2
Model_600;0.037;0.012;0.029;0.019;0.011;0.012;0.013;0.025;0.028;0.013;;300.4;203.1;291.2;384.8;73.5;198.7;276.9;310;242.8;246.7
Model_601;0.042;0.010;0.031;0.023;0.012;0.010;0.011;0.030;0.023;0.010;;249.3;222.3;237.1;294.4;55.8;226.1;228.9;240.7;387;295
Model_602;0.039;0.010;0.030;0.020;0.011;0.010;0.009;0.029;0.028;0.010;;282.9;184.3;254.5;372.4;63.7;181.8;264;263.9;261.4;255.7
Model_603;0.035;0.011;0.025;0.021;0.008;0.011;0.009;0.030;0.026;0.010;;326;172.2;331.4;333.2;98.8;168.9;257.1;248.1;300.4;273.6
Model_604;0.035;0.010;0.031;0.023;0.012;0.010;0.010;0.024;0.030;0.012;;344.2;192.5;271.4;286.7;95;193.2;347.1;349.9;241.9;198.8
Model_605;0.040;0.011;0.028;0.023;0.011;0.009;0.011;0.031;0.026;0.012;;263.9;178.9;272.9;284.7;61.1;262.4;212.2;228.1;300.4;208.5
Model_606;0.040;0.008;0.025;0.020;0.010;0.011;0.011;0.028;0.026;0.010;;273.7;293.9;330;378.8;40.2;156.3;218.6;277.9;303.5;259.1
Model_607;0.036;0.009;0.024;0.020;0.010;0.009;0.011;0.024;0.031;0.010;;331.3;199.8;372;382.3;106.3;199.9;271.4;359;221.6;234.5
Model_608;0.037;0.008;0.029;0.025;0.011;0.008;0.012;0.027;0.025;0.011;;302.1;271.8;269.5;254.5;98.5;273.9;246.9;282.7;342.1;204.5
Model_609;0.042;0.010;0.024;0.024;0.010;0.010;0.011;0.029;0.024;0.009;;256.1;187.5;341.4;269.8;53;189.7;194.7;263.7;362.8;302.4
Model_610;0.040;0.011;0.026;0.019;0.010;0.008;0.009;0.030;0.026;0.013;;270.4;190.8;310;398.7;115.9;343.3;243.3;250.7;296.8;192.8
Model_611;0.039;0.011;0.032;0.022;0.011;0.011;0.008;0.030;0.029;0.011;;282.6;159.3;234.2;304.5;87.2;155.6;276.2;250.2;242.5;222.3
Model_612;0.037;0.011;0.027;0.019;0.009;0.011;0.009;0.031;0.025;0.011;;296.8;206.9;296;395.8;130.1;200.2;261.8;233;320.4;273
Model_613;0.038;0.013;0.030;0.022;0.010;0.008;0.011;0.025;0.023;0.011;;298.7;143.1;271.2;306.1;67.6;374.3;303.8;326.4;382.2;282
Model_614;0.041;0.011;0.027;0.020;0.011;0.008;0.010;0.027;0.026;0.012;;270.2;180.1;300.9;365.8;68.4;329.6;261.4;297.1;297.6;215.6
Model_615;0.039;0.013;0.025;0.021;0.009;0.012;0.010;0.029;0.028;0.010;;281.2;127.3;330.2;332.5;73.9;146.6;230.2;263.5;257.4;278.7
Model_616;0.037;0.011;0.026;0.023;0.009;0.009;0.008;0.023;0.025;0.011;;333.5;170.8;340.2;280.9;82.6;248;382.1;405.2;337.6;247.3
Model_617;0.036;0.011;0.026;0.023;0.009;0.011;0.009;0.027;0.026;0.009;;323.6;150.6;316.7;286.8;51;152;281.5;300.4;309;299.1
Model_618;0.042;0.009;0.026;0.025;0.011;0.012;0.010;0.030;0.024;0.009;;254.3;226.9;298;250.6;64.3;135.3;208.1;249.3;364;294.8
Model_619;0.037;0.009;0.026;0.021;0.009;0.011;0.012;0.030;0.024;0.009;;294.8;247.9;306.1;353.9;41.3;170.5;204;239.6;357.6;323.1
Model_620;0.039;0.011;0.027;0.024;0.011;0.011;0.012;0.027;0.029;0.012;;283;174.6;302.7;260.5;62.2;172.8;235.7;284.9;244.1;207.9
Model_621;0.036;0.011;0.030;0.025;0.010;0.009;0.010;0.027;0.028;0.013;;319.4;169.4;265.9;240.4;46.1;246.1;292;288.8;265.1;177.4
Model_622;0.036;0.009;0.024;0.025;0.008;0.009;0.010;0.029;0.027;0.011;;316;207.9;348.7;242.6;43.6;205.6;225.5;262.4;288.1;196.1
Model_623;0.036;0.010;0.025;0.022;0.011;0.011;0.011;0.030;0.024;0.013;;307.7;269.4;333.9;298.1;90.9;220.7;231.3;239.9;337.9;218.2
Model_624;0.042;0.012;0.027;0.020;0.010;0.009;0.008;0.030;0.025;0.009;;256.9;135.3;286.2;376.2;102.5;230.4;242.4;255.5;327.8;310.9
Model_625;0.035;0.010;0.031;0.026;0.012;0.009;0.012;0.031;0.030;0.009;;317.5;134.9;236.1;241.1;91.3;168.2;215.5;223.1;243.3;228.3
Model_626;0.041;0.012;0.028;0.025;0.009;0.008;0.012;0.023;0.030;0.009;;288.5;110.6;292.2;264.5;180.6;229;266.1;377.5;257.9;260.6
Model_627;0.038;0.012;0.024;0.026;0.010;0.012;0.011;0.025;0.031;0.012;;306.7;138.7;370.3;225.3;59.3;136.3;256.3;333.1;223.5;199.6
Model_628;0.039;0.012;0.027;0.021;0.012;0.012;0.011;0.027;0.029;0.010;;285.2;141.6;302.4;337.8;55.4;141.1;247.7;290.9;242.6;276.7
Model_629;0.041;0.012;0.024;0.023;0.011;0.010;0.010;0.026;0.027;0.011;;276.8;144.6;360.2;280.5;65.6;204.6;250.9;320.7;280.6;240.2
Model_630;0.041;0.009;0.031;0.022;0.009;0.009;0.008;0.027;0.026;0.012;;275;239.4;252.9;305;95.5;232.7;314.7;304.1;303.3;195.9
Model_631;0.042;0.009;0.024;0.021;0.012;0.011;0.009;0.027;0.028;0.013;;267.4;262.5;355.7;328.2;93.7;173.8;246.7;305.6;255.8;181.9
Model_632;0.040;0.011;0.026;0.024;0.012;0.012;0.011;0.026;0.026;0.009;;281.5;157;318.4;267;71.4;135.8;249.6;312.9;311.4;307.4
Model_633;0.035;0.010;0.024;0.019;0.010;0.012;0.013;0.028;0.027;0.010;;320.6;224.5;362;413;56.7;156.1;208.1;267;275.5;298.7
Model_634;0.040;0.012;0.029;0.024;0.009;0.008;0.008;0.030;0.028;0.010;;274.3;107.2;260;264.8;72.6;235.3;252.8;252.8;269.3;216.4
Model_635;0.038;0.011;0.028;0.025;0.012;0.008;0.009;0.029;0.024;0.011;;294.2;165.3;277.4;243.5;76.9;307.3;261.3;263.5;360;230.5
Model_636;0.035;0.012;0.030;0.025;0.010;0.011;0.009;0.025;0.023;0.009;;341.2;150.5;273.4;241.3;52.4;184.3;348.5;338.3;393.5;349.9
Model_637;0.042;0.010;0.030;0.025;0.009;0.011;0.009;0.028;0.025;0.011;;260.9;207.9;257.2;237.4;85.1;172.3;278.3;280.9;328.9;237.3
Model_638;0.037;0.010;0.024;0.024;0.010;0.012;0.010;0.024;0.029;0.012;;323.4;202.7;375.7;260.6;52.1;138.6;297.5;363.1;252.8;205.8
Model_639;0.042;0.009;0.029;0.024;0.010;0.011;0.011;0.026;0.025;0.012;;263.4;275.7;275.1;257.6;48.9;185.9;269.2;309;327.1;220.2
Model_640;0.039;0.010;0.025;0.026;0.011;0.008;0.009;0.024;0.028;0.013;;307.7;176.9;350.3;228.2;53.5;271.9;310;370.9;279.4;158.5
Model_641;0.037;0.013;0.028;0.019;0.012;0.009;0.008;0.028;0.023;0.010;;309.3;147.9;286.2;401.9;114.1;297.5;302.8;285.1;373.7;331.4
Model_642;0.038;0.010;0.031;0.025;0.008;0.009;0.010;0.031;0.030;0.013;;285.7;177.4;238.8;242.2;37.1;212.8;237.2;227.8;231.8;152
Model_643;0.040;0.012;0.030;0.025;0.011;0.010;0.010;0.027;0.029;0.012;;279.4;139;262.1;241.5;45;195.4;274.4;292.4;250.3;199.6
Model_644;0.037;0.012;0.024;0.024;0.011;0.010;0.011;0.024;0.027;0.011;;318.9;146.4;375.4;261.7;74;208.9;281.2;357;286.2;246.6
Model_645;0.038;0.010;0.026;0.026;0.011;0.010;0.009;0.024;0.026;0.009;;316.2;161.6;328.3;232;74.9;163.4;317.8;370.6;324;276.4
Model_646;0.037;0.008;0.027;0.022;0.012;0.012;0.010;0.028;0.030;0.013;;305.7;293.9;300.4;306.8;50.6;133.1;255.6;275.6;227.5;162.8
Model_647;0.037;0.012;0.026;0.023;0.010;0.011;0.011;0.030;0.030;0.011;;297.5;135.9;309.5;281.7;39.3;159.8;214.8;242;227.8;221.7
Model_648;0.038;0.008;0.027;0.022;0.012;0.009;0.008;0.023;0.029;0.012;;326.3;260.3;321.8;315.1;66.6;211.3;369.1;404.1;264.6;175.9
Model_649;0.037;0.008;0.026;0.021;0.009;0.012;0.008;0.025;0.026;0.013;;322;335.8;331.9;326.3;112.3;152.3;347.1;349.4;299.5;189.7
Model_650;0.039;0.009;0.029;0.025;0.009;0.012;0.013;0.023;0.025;0.013;;292.8;316.7;289.8;238.4;131.3;181.9;287;360.8;328.5;219.8
Model_651;0.038;0.010;0.032;0.026;0.012;0.012;0.011;0.027;0.023;0.010;;292;230.4;241.2;228.1;65;169;281.6;284.2;390.5;304.1
Model_652;0.042;0.011;0.028;0.023;0.011;0.011;0.012;0.027;0.027;0.009;;258.8;150;280.3;294;82.2;152.8;225;288.4;289.5;298.9
Model_653;0.036;0.011;0.029;0.024;0.012;0.008;0.011;0.025;0.028;0.009;;324.7;122.7;281.1;276.2;117.9;231.4;289.1;326.2;278.6;259.3
Model_654;0.035;0.011;0.027;0.019;0.011;0.009;0.011;0.023;0.025;0.011;;340.6;200.2;327.6;401.3;91.6;294;335.6;375.3;319;285.6
Model_655;0.039;0.009;0.028;0.026;0.011;0.011;0.010;0.026;0.024;0.013;;290.6;292.2;292.7;216.1;71.1;197;294.4;313.1;352.1;200.9
Model_656;0.039;0.011;0.029;0.021;0.011;0.012;0.012;0.029;0.030;0.009;;276.2;144.4;263.9;350.2;74.1;122.7;214.3;253;231.7;287.4
Model_657;0.043;0.013;0.028;0.022;0.012;0.009;0.008;0.024;0.024;0.009;;277.6;114.8;295.6;311.4;85.2;239.5;339;378.4;363.7;331.1
Model_658;0.035;0.010;0.028;0.026;0.010;0.012;0.009;0.028;0.026;0.010;;332.9;188.9;284.9;224.5;55.5;134.4;286.7;277.6;309.9;254.8
Model_659;0.039;0.011;0.025;0.025;0.012;0.012;0.009;0.025;0.028;0.009;;302.7;135.5;341.9;249.5;59.4;115.1;286.5;346.7;277.2;273.2
Model_660;0.042;0.008;0.027;0.022;0.010;0.011;0.011;0.026;0.027;0.010;;265.8;270.6;298.9;316.8;73.3;143.8;245.4;313.9;288;244.3
Model_661;0.039;0.012;0.026;0.020;0.012;0.010;0.011;0.024;0.028;0.012;;296.8;166.2;337;361.3;64.1;232.6;295;354.1;257.3;239.4
Model_662;0.038;0.008;0.028;0.023;0.010;0.011;0.009;0.030;0.025;0.010;;290.9;277.7;273.9;289.6;69;150.3;248.2;248.5;333;243.8
Model_663;0.039;0.011;0.026;0.019;0.012;0.008;0.009;0.028;0.025;0.009;;287.4;153.7;310.9;420.4;69.4;283.1;252.4;284.8;329.1;310.1
Model_664;0.039;0.012;0.030;0.020;0.011;0.013;0.011;0.023;0.030;0.011;;300.9;160.4;283.4;365.1;97.6;134.5;331.3;373.4;235;276.6
Model_665;0.036;0.009;0.031;0.021;0.008;0.012;0.008;0.024;0.026;0.009;;338.1;219.2;267.7;343.5;47.9;122.8;380.1;372.4;315.7;308.3
Model_666;0.042;0.012;0.029;0.024;0.009;0.010;0.008;0.023;0.028;0.009;;292.6;113;288.5;271.6;64.4;156.4;360.3;405.7;290.1;278.8
Model_667;0.037;0.009;0.025;0.022;0.008;0.008;0.012;0.031;0.026;0.009;;294.9;195.3;317.2;329.7;53.1;244.2;178;229.1;313.4;263.3
Model_668;0.038;0.012;0.031;0.026;0.012;0.010;0.010;0.024;0.026;0.013;;308.4;167.8;271;218.8;65.8;237;344.1;353.4;309.5;209.8
Model_669;0.036;0.008;0.030;0.022;0.012;0.012;0.010;0.028;0.028;0.009;;316.6;239.3;258;320.4;71.4;108.4;267.8;273.4;270.5;261.4
Model_670;0.042;0.011;0.031;0.021;0.012;0.009;0.012;0.023;0.029;0.012;;274.2;181.1;268.7;340.8;121.5;263.8;304.9;366.5;254.3;218.6
Model_671;0.040;0.010;0.026;0.024;0.011;0.012;0.009;0.027;0.023;0.010;;281.8;226.9;314.8;256.8;93.9;162.6;275.8;302.3;384.4;300.5
Model_672;0.035;0.010;0.031;0.020;0.012;0.009;0.011;0.024;0.030;0.011;;338;190.2;269.6;376.1;115.4;235.1;326.8;343.7;235.5;229.7
Model_673;0.038;0.010;0.027;0.021;0.011;0.011;0.012;0.030;0.029;0.011;;283.3;201.4;292.9;341.1;40.9;165.1;206.1;238.8;242;228.8
Model_674;0.037;0.009;0.027;0.023;0.009;0.009;0.013;0.031;0.027;0.013;;289.9;253.4;289.2;290.1;44.2;251.4;191.5;221.1;281.1;171.2
Model_675;0.037;0.011;0.024;0.026;0.012;0.009;0.013;0.026;0.028;0.010;;306.7;139.4;363;231.7;100.3;208.7;216.6;303.2;273.7;235.7
Model_676;0.039;0.012;0.027;0.022;0.011;0.011;0.008;0.027;0.023;0.013;;291.9;206.4;308;283.9;156.9;238.4;321.8;304.2;361;244.5
Model_677;0.035;0.011;0.026;0.025;0.009;0.009;0.009;0.023;0.026;0.009;;355.1;136.9;335.5;251;93.6;205;349.7;396.4;325.5;288.1
Model_678;0.035;0.012;0.026;0.021;0.012;0.009;0.009;0.023;0.023;0.011;;350.9;174.7;344.2;326.8;84.9;305;375.9;393.9;377.4;294.1
Model_679;0.038;0.012;0.031;0.022;0.008;0.008;0.012;0.030;0.028;0.012;;282.1;141.4;239.7;315.4;56;312.1;220.7;235.2;262.1;200.3
Model_680;0.040;0.008;0.028;0.021;0.009;0.012;0.009;0.031;0.025;0.013;;267;350.1;277.4;327.6;124;153.6;251.6;233.9;317.8;186.3
Model_681;0.036;0.011;0.026;0.022;0.010;0.012;0.013;0.026;0.024;0.010;;312.2;205.8;325.6;311.2;82.8;178.5;243.6;297.8;349.9;328.7
Model_682;0.038;0.012;0.029;0.023;0.011;0.012;0.012;0.030;0.025;0.009;;282.7;150.9;261.4;296.3;53.4;154.8;216.9;236.5;331;332.6
Model_683;0.037;0.009;0.025;0.025;0.011;0.012;0.009;0.026;0.029;0.011;;318.1;210.7;340.9;244.6;52.2;117.3;281;321.5;253.6;202.5
Model_684;0.038;0.012;0.026;0.020;0.008;0.009;0.008;0.024;0.025;0.009;;316.9;131.2;330.3;372.1;76.3;230;351.7;378.4;331.8;324.8
Model_685;0.036;0.010;0.028;0.025;0.009;0.010;0.009;0.026;0.023;0.012;;324.4;240.5;297.1;231.4;93.8;238.9;331.6;316.6;380.5;235.6
Model_686;0.037;0.012;0.028;0.019;0.010;0.010;0.012;0.024;0.023;0.011;;307.7;199.7;306.4;394;71.1;286.5;303.7;342;365.5;328.4
Model_687;0.040;0.010;0.029;0.019;0.008;0.012;0.011;0.029;0.030;0.010;;268.3;195;265.2;411.5;33.8;134.3;229.3;257.7;225.3;267.9
Model_688;0.041;0.010;0.027;0.019;0.012;0.009;0.009;0.023;0.026;0.012;;293.2;230.1;322.1;399.5;82.2;281;352.5;397.5;301.6;234.5
Model_689;0.035;0.009;0.031;0.023;0.011;0.011;0.010;0.027;0.029;0.009;;332.8;186.7;251.8;296.2;88.3;125.8;287.2;288.9;254.5;259.7
Model_690;0.037;0.008;0.029;0.020;0.011;0.009;0.011;0.024;0.025;0.011;;314.1;318;288.1;374.2;100.4;249;311.8;350.9;328.1;241.6
Model_691;0.035;0.012;0.024;0.025;0.010;0.009;0.013;0.027;0.028;0.011;;326.4;134.7;360.8;244.6;87;237.8;213.2;282.8;267.2;225.1
Model_692;0.041;0.010;0.029;0.024;0.009;0.012;0.008;0.027;0.030;0.009;;278.1;143.7;268.8;269.8;48.5;99.2;283.1;305.9;243.1;245.7
Model_693;0.036;0.012;0.028;0.020;0.008;0.009;0.009;0.026;0.029;0.013;;324.9;156.1;298.9;357.5;80.1;267.1;327.2;316.6;239.4;195.3
Model_694;0.040;0.008;0.029;0.020;0.009;0.009;0.010;0.031;0.024;0.010;;265.4;296.8;258.4;384.3;63.1;233.8;227.2;231.7;356.4;258.5
Model_695;0.036;0.009;0.024;0.026;0.011;0.011;0.010;0.027;0.028;0.009;;323.8;180.1;354;232.3;63.2;123.1;241.1;297.9;275.4;246.2
Model_696;0.036;0.011;0.026;0.025;0.008;0.009;0.008;0.030;0.026;0.011;;316.6;152;310.8;237.1;108.1;220.5;269.6;251;305.5;210.6
Model_697;0.037;0.010;0.027;0.020;0.012;0.008;0.012;0.027;0.030;0.011;;302.3;176.7;303.8;379.3;83.5;270.6;236.8;285.2;229.7;208.7
